idx,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
79,40,40,1300,10,10,70,100,11.84663331,36,51.12,8450,639.6182697
80,10,10,400,10,40,40,100,10.73823933,3.3,48.96,800,108.4828078
81,10,40,400,10,40,40,100,10.73823933,11.1,48.96,800,433.9312314
82,40,10,400,10,40,40,100,10.73823933,5.4,48.96,800,108.4828078
83,40,40,400,10,40,40,100,10.73823933,13.2,48.96,800,433.9312314
84,10,10,700,10,40,40,100,12.08762875,4,48.96,2450,134.0746013
85,10,40,700,10,40,40,100,12.08762875,13.6,48.96,2450,536.2984053
86,40,10,700,10,40,40,100,12.08762875,6.4,48.96,2450,134.0746013
87,40,40,700,10,40,40,100,12.08762875,16,48.96,2450,536.2984053
88,10,10,1000,10,40,40,100,11.43798401,4.6,48.96,5000,141.5645394
89,10,40,1000,10,40,40,100,11.43798401,15.7,48.96,5000,566.2581577
90,40,10,1000,10,40,40,100,11.43798401,7.3,48.96,5000,141.5645394
91,40,40,1000,10,40,40,100,11.43798401,18.4,48.96,5000,566.2581577
92,10,10,1300,10,40,40,100,11.18583879,8.1,48.96,8450,143.7890606
93,10,40,1300,10,40,40,100,11.18583879,27.6,48.96,8450,575.1562423
94,40,10,1300,10,40,40,100,11.18583879,12.9,48.96,8450,143.7890606
95,40,40,1300,10,40,40,100,11.18583879,32.4,48.96,8450,575.1562423
96,10,10,400,10,70,10,100,10.43453095,3.4,46.8,800,98.09928714
97,10,40,400,10,70,10,100,10.43453095,11.5,46.8,800,392.3971485
98,40,10,400,10,70,10,100,10.43453095,5.5,46.8,800,98.09928714
99,40,40,400,10,70,10,100,10.43453095,13.6,46.8,800,392.3971485
100,10,10,700,10,70,10,100,12.07212227,3.9,46.8,2450,121.0749083
101,10,40,700,10,70,10,100,12.07212227,13.5,46.8,2450,484.2996333
102,40,10,700,10,70,10,100,12.07212227,6,46.8,2450,121.0749083
103,40,40,700,10,70,10,100,12.07212227,15.6,46.8,2450,484.2996333
104,10,10,1000,10,70,10,100,11.27140289,4.7,46.8,5000,128.1548074
105,10,40,1000,10,70,10,100,11.27140289,16.1,46.8,5000,512.6192295
106,40,10,1000,10,70,10,100,11.27140289,7.4,46.8,5000,128.1548074
107,40,40,1000,10,70,10,100,11.27140289,18.8,46.8,5000,512.6192295
108,10,10,1300,10,70,10,100,11.21521602,8.8,46.8,8450,129.9086654
109,10,40,1300,10,70,10,100,11.21521602,29.8,46.8,8450,519.6346617
110,40,10,1300,10,70,10,100,11.21521602,14.2,46.8,8450,129.9086654
111,40,40,1300,10,70,10,100,11.21521602,35.2,46.8,8450,519.6346617
112,10,10,400,40,10,40,100,10.33676675,3.4,51.12,800,119.0346367
113,10,40,400,40,10,40,100,10.33676675,11.2,51.12,800,476.1385467
114,40,10,400,40,10,40,100,10.33676675,5.8,51.12,800,119.0346367
115,40,40,400,40,10,40,100,10.33676675,13.6,51.12,800,476.1385467
116,10,10,700,40,10,40,100,11.95077169,4.1,51.12,2450,147.4305521
117,10,40,700,40,10,40,100,11.95077169,13.7,51.12,2450,589.7222082
118,40,10,700,40,10,40,100,11.95077169,6.8,51.12,2450,147.4305521
119,40,40,700,40,10,40,100,11.95077169,16.4,51.12,2450,589.7222082
120,10,10,1000,40,10,40,100,11.41566615,4.8,51.12,5000,155.9860958
121,10,40,1000,40,10,40,100,11.41566615,15.9,51.12,5000,623.9443832
122,40,10,1000,40,10,40,100,11.41566615,8.1,51.12,5000,155.9860958
123,40,40,1000,40,10,40,100,11.41566615,19.2,51.12,5000,623.9443832
124,10,10,1300,40,10,40,100,11.49777238,8.5,51.12,8450,158.021872
125,10,40,1300,40,10,40,100,11.49777238,27.4,51.12,8450,632.0874879
126,40,10,1300,40,10,40,100,11.49777238,15.1,51.12,8450,158.021872
127,40,40,1300,40,10,40,100,11.49777238,34,51.12,8450,632.0874879
128,10,10,400,40,40,10,100,10.14941822,3.4,48.96,800,107.9278122
129,10,40,400,40,40,10,100,10.14941822,11.5,48.96,800,431.711249
130,40,10,400,40,40,10,100,10.14941822,5.5,48.96,800,107.9278122
131,40,40,400,40,40,10,100,10.14941822,13.6,48.96,800,431.711249
132,10,10,700,40,40,10,100,12.10304818,4,48.96,2450,133.1132375
133,10,40,700,40,40,10,100,12.10304818,13.6,48.96,2450,532.4529502
134,40,10,700,40,40,10,100,12.10304818,6.4,48.96,2450,133.1132375
135,40,40,700,40,40,10,100,12.10304818,16,48.96,2450,532.4529502
136,10,10,1000,40,40,10,100,11.46544109,4.6,48.96,5000,140.7210787
137,10,40,1000,40,40,10,100,11.46544109,15.7,48.96,5000,562.8843149
138,40,10,1000,40,40,10,100,11.46544109,7.3,48.96,5000,140.7210787
139,40,40,1000,40,40,10,100,11.46544109,18.4,48.96,5000,562.8843149
140,10,10,1300,40,40,10,100,10.95434816,8.4,48.96,8450,142.9519105
141,10,40,1300,40,40,10,100,10.95434816,27.9,48.96,8450,571.8076421
142,40,10,1300,40,40,10,100,10.95434816,14.1,48.96,8450,142.9519105
143,40,40,1300,40,40,10,100,10.95434816,33.6,48.96,8450,571.8076421
