idx,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
745,10,40,1000,40,70,100,100,12.38901882,18.9,72.72,5000,1239.18712
746,40,10,1000,40,70,100,100,12.38901882,17.1,72.72,5000,309.79678
747,40,40,1000,40,70,100,100,12.38901882,28.8,72.72,5000,1239.18712
748,10,10,1300,40,70,100,100,11.95234097,14.2,72.72,8450,317.0900769
749,10,40,1300,40,70,100,100,11.95234097,36.7,72.72,8450,1268.360307
750,40,10,1300,40,70,100,100,11.95234097,34.3,72.72,8450,317.0900769
751,40,40,1300,40,70,100,100,11.95234097,56.8,72.72,8450,1268.360307
752,10,10,400,40,100,70,100,10.14804134,4.9,70.56,800,176.6488644
753,10,40,400,40,100,70,100,10.14804134,13,70.56,800,706.5954577
754,40,10,400,40,100,70,100,10.14804134,11.5,70.56,800,176.6488644
755,40,40,400,40,100,70,100,10.14804134,19.6,70.56,800,706.5954577
756,10,10,700,40,100,70,100,12.83659133,5.6,70.56,2450,265.2969318
757,10,40,700,40,100,70,100,12.83659133,15.2,70.56,2450,1061.187727
758,40,10,700,40,100,70,100,12.83659133,12.8,70.56,2450,265.2969318
759,40,40,700,40,100,70,100,12.83659133,22.4,70.56,2450,1061.187727
760,10,10,1000,40,100,70,100,11.58465025,6.8,70.56,5000,293.2882869
761,10,40,1000,40,100,70,100,11.58465025,17.9,70.56,5000,1173.153148
762,40,10,1000,40,100,70,100,11.58465025,16.1,70.56,5000,293.2882869
763,40,40,1000,40,100,70,100,11.58465025,27.2,70.56,5000,1173.153148
764,10,10,1300,40,100,70,100,11.33083142,13.3,70.56,8450,299.7516679
765,10,40,1300,40,100,70,100,11.33083142,34.9,70.56,8450,1199.006672
766,40,10,1300,40,100,70,100,11.33083142,31.6,70.56,8450,299.7516679
767,40,40,1300,40,100,70,100,11.33083142,53.2,70.56,8450,1199.006672
768,10,10,400,100,10,70,100,11.38293486,4.5,70.56,800,195.4605482
769,10,40,400,100,10,70,100,11.38293486,12,70.56,800,781.842193
770,40,10,400,100,10,70,100,11.38293486,10.5,70.56,800,195.4605482
771,40,40,400,100,10,70,100,11.38293486,18,70.56,800,781.842193
772,10,10,700,100,10,70,100,12.88964513,5.4,70.56,2450,273.7822009
773,10,40,700,100,10,70,100,12.88964513,14.7,70.56,2450,1095.128804
774,40,10,700,100,10,70,100,12.88964513,12.3,70.56,2450,273.7822009
775,40,40,700,100,10,70,100,12.88964513,21.6,70.56,2450,1095.128804
776,10,10,1000,100,10,70,100,12.05217455,6.7,70.56,5000,297.8730014
777,10,40,1000,100,10,70,100,12.05217455,18.4,70.56,5000,1191.492006
778,40,10,1000,100,10,70,100,12.05217455,15.1,70.56,5000,297.8730014
779,40,40,1000,100,10,70,100,12.05217455,26.8,70.56,5000,1191.492006
780,10,10,1300,100,10,70,100,11.57772883,13.4,70.56,8450,304.4780987
781,10,40,1300,100,10,70,100,11.57772883,35.6,70.56,8450,1217.912395
782,40,10,1300,100,10,70,100,11.57772883,31.4,70.56,8450,304.4780987
783,40,40,1300,100,10,70,100,11.57772883,53.6,70.56,8450,1217.912395
784,10,10,400,100,40,40,100,10.44602434,4.5,68.4,800,186.2596859
785,10,40,400,100,40,40,100,10.44602434,12.3,68.4,800,745.0387435
786,40,10,400,100,40,40,100,10.44602434,10.2,68.4,800,186.2596859
787,40,40,400,100,40,40,100,10.44602434,18,68.4,800,745.0387435
788,10,10,700,100,40,40,100,12.35684341,5.4,68.4,2450,257.4452686
789,10,40,700,100,40,40,100,12.35684341,15,68.4,2450,1029.781074
790,40,10,700,100,40,40,100,12.35684341,12,68.4,2450,257.4452686
791,40,40,700,100,40,40,100,12.35684341,21.6,68.4,2450,1029.781074
792,10,10,1000,100,40,40,100,11.71758769,6.4,68.4,5000,280.7698671
793,10,40,1000,100,40,40,100,11.71758769,17.5,68.4,5000,1123.079469
794,40,10,1000,100,40,40,100,11.71758769,14.5,68.4,5000,280.7698671
795,40,40,1000,100,40,40,100,11.71758769,25.6,68.4,5000,1123.079469
796,10,10,1300,100,40,40,100,11.24645458,12,68.4,8450,286.7536157
797,10,40,1300,100,40,40,100,11.24645458,31.5,68.4,8450,1147.014463
798,40,10,1300,100,40,40,100,11.24645458,28.5,68.4,8450,286.7536157
799,40,40,1300,100,40,40,100,11.24645458,48,68.4,8450,1147.014463
800,10,10,400,100,70,10,100,9.95653892,4.5,66.24,800,174.3234915
801,10,40,400,100,70,10,100,9.95653892,12.6,66.24,800,697.293966
802,40,10,400,100,70,10,100,9.95653892,9.9,66.24,800,174.3234915
803,40,40,400,100,70,10,100,9.95653892,18,66.24,800,697.293966
804,10,10,700,100,70,10,100,11.98184236,5.3,66.24,2450,241.4340097
805,10,40,700,100,70,10,100,11.98184236,14.9,66.24,2450,965.7360389
806,40,10,700,100,70,10,100,11.98184236,11.6,66.24,2450,241.4340097
807,40,40,700,100,70,10,100,11.98184236,21.2,66.24,2450,965.7360389
808,10,10,1000,100,70,10,100,11.01150055,6,66.24,5000,263.9842433
809,10,40,1000,100,70,10,100,11.01150055,16.8,66.24,5000,1055.936973
810,40,10,1000,100,70,10,100,11.01150055,13.2,66.24,5000,263.9842433
811,40,40,1000,100,70,10,100,11.01150055,24,66.24,5000,1055.936973
812,10,10,1300,100,70,10,100,10.64744368,11.3,66.24,8450,269.374744
813,10,40,1300,100,70,10,100,10.64744368,30.2,66.24,8450,1077.498976
814,40,10,1300,100,70,10,100,10.64744368,26.3,66.24,8450,269.374744
815,40,40,1300,100,70,10,100,10.64744368,45.2,66.24,8450,1077.498976
816,10,10,400,10,10,70,400,11.28694881,7,94.32,800,254.0677817
817,10,40,400,10,10,70,400,11.28694881,15.1,94.32,800,1016.271127
818,40,10,400,10,10,70,400,11.28694881,19.9,94.32,800,254.0677817
819,40,40,400,10,10,70,400,11.28694881,28,94.32,800,1016.271127
820,10,10,700,10,10,70,400,13.14330641,7.8,94.32,2450,404.3509935
821,10,40,700,10,10,70,400,13.14330641,17.1,94.32,2450,1617.403974
822,40,10,700,10,10,70,400,13.14330641,21.9,94.32,2450,404.3509935
823,40,40,700,10,10,70,400,13.14330641,31.2,94.32,2450,1617.403974
824,10,10,1000,10,10,70,400,11.93587537,9.3,94.32,5000,458.5815509
825,10,40,1000,10,10,70,400,11.93587537,20.1,94.32,5000,1834.326203
826,40,10,1000,10,10,70,400,11.93587537,26.4,94.32,5000,458.5815509
827,40,40,1000,10,10,70,400,11.93587537,37.2,94.32,5000,1834.326203
828,10,10,1300,10,10,70,400,11.83509443,18.7,94.32,8450,470.4953991
829,10,40,1300,10,10,70,400,11.83509443,39.1,94.32,8450,1881.981596
830,40,10,1300,10,10,70,400,11.83509443,54.4,94.32,8450,470.4953991
831,40,40,1300,10,10,70,400,11.83509443,74.8,94.32,8450,1881.981596
832,10,10,400,10,40,40,400,12.19636295,6.7,92.16,800,249.8846651
833,10,40,400,10,40,40,400,12.19636295,14.5,92.16,800,999.5386602
834,40,10,400,10,40,40,400,12.19636295,19,92.16,800,249.8846651
835,40,40,400,10,40,40,400,12.19636295,26.8,92.16,800,999.5386602
836,10,10,700,10,40,40,400,14.01564813,7.4,92.16,2450,401.8796005
837,10,40,700,10,40,40,400,14.01564813,16.7,92.16,2450,1607.518402
838,40,10,700,10,40,40,400,14.01564813,20.3,92.16,2450,401.8796005
839,40,40,700,10,40,40,400,14.01564813,29.6,92.16,2450,1607.518402
840,10,10,1000,10,40,40,400,12.9145447,9,92.16,5000,452.5263807
841,10,40,1000,10,40,40,400,12.9145447,19.8,92.16,5000,1810.105523
842,40,10,1000,10,40,40,400,12.9145447,25.2,92.16,5000,452.5263807
843,40,40,1000,10,40,40,400,12.9145447,36,92.16,5000,1810.105523
844,10,10,1300,10,40,40,400,12.31970711,18.8,92.16,8450,464.6596404
845,10,40,1300,10,40,40,400,12.31970711,41.3,92.16,8450,1858.638562
846,40,10,1300,10,40,40,400,12.31970711,52.7,92.16,8450,464.6596404
847,40,40,1300,10,40,40,400,12.31970711,75.2,92.16,8450,1858.638562
848,10,10,400,10,70,10,400,12.93530975,6.5,90,800,242.2568753
849,10,40,400,10,70,10,400,12.93530975,14.3,90,800,969.0275014
850,40,10,400,10,70,10,400,12.93530975,18.2,90,800,242.2568753
851,40,40,400,10,70,10,400,12.93530975,26,90,800,969.0275014
852,10,10,700,10,70,10,400,14.59194902,7.5,90,2450,393.1549589
853,10,40,700,10,70,10,400,14.59194902,17.1,90,2450,1572.619836
854,40,10,700,10,70,10,400,14.59194902,20.4,90,2450,393.1549589
855,40,40,700,10,70,10,400,14.59194902,30,90,2450,1572.619836
856,10,10,1000,10,70,10,400,13.27936252,8.9,90,5000,440.990521
857,10,40,1000,10,70,10,400,13.27936252,20,90,5000,1763.962084
858,40,10,1000,10,70,10,400,13.27936252,24.5,90,5000,440.990521
859,40,40,1000,10,70,10,400,13.27936252,35.6,90,5000,1763.962084
860,10,10,1300,10,70,10,400,12.64305482,17.5,90,8450,454.0451809
861,10,40,1300,10,70,10,400,12.64305482,37.3,90,8450,1816.180724
862,40,10,1300,10,70,10,400,12.64305482,50.2,90,8450,454.0451809
863,40,40,1300,10,70,10,400,12.64305482,70,90,8450,1816.180724
864,10,10,400,70,40,100,100,10.92042929,5.2,74.88,800,193.5783995
865,10,40,400,70,40,100,100,10.92042929,13.3,74.88,800,774.3135978
866,40,10,400,70,40,100,100,10.92042929,12.7,74.88,800,193.5783995
867,40,40,400,70,40,100,100,10.92042929,20.8,74.88,800,774.3135978
868,10,10,700,70,40,100,100,13.13851155,6,74.88,2450,291.8689095
869,10,40,700,70,40,100,100,13.13851155,15.9,74.88,2450,1167.475638
870,40,10,700,70,40,100,100,13.13851155,14.1,74.88,2450,291.8689095
871,40,40,700,70,40,100,100,13.13851155,24,74.88,2450,1167.475638
872,10,10,1000,70,40,100,100,12.08697433,7.1,74.88,5000,323.0088493
873,10,40,1000,70,40,100,100,12.08697433,18.5,74.88,5000,1292.035397
874,40,10,1000,70,40,100,100,12.08697433,17,74.88,5000,323.0088493
875,40,40,1000,70,40,100,100,12.08697433,28.4,74.88,5000,1292.035397
876,10,10,1300,70,40,100,100,11.72171678,13.6,74.88,8450,330.5986283
877,10,40,1300,70,40,100,100,11.72171678,34.6,74.88,8450,1322.394513
878,40,10,1300,70,40,100,100,11.72171678,33.4,74.88,8450,330.5986283
879,40,40,1300,70,40,100,100,11.72171678,54.4,74.88,8450,1322.394513
880,10,10,400,70,70,70,100,9.956470417,4.9,72.72,800,187.3510324
881,10,40,400,70,70,70,100,9.956470417,12.7,72.72,800,749.4041294
882,40,10,400,70,70,70,100,9.956470417,11.8,72.72,800,187.3510324
883,40,40,400,70,70,70,100,9.956470417,19.6,72.72,800,749.4041294
884,10,10,700,70,70,70,100,12.51929916,5.9,72.72,2450,276.9982439
885,10,40,700,70,70,70,100,12.51929916,15.8,72.72,2450,1107.992976
886,40,10,700,70,70,70,100,12.51929916,13.7,72.72,2450,276.9982439
887,40,40,700,70,70,70,100,12.51929916,23.6,72.72,2450,1107.992976
888,10,10,1000,70,70,70,100,11.63689547,6.9,72.72,5000,305.2774667
889,10,40,1000,70,70,70,100,11.63689547,17.7,72.72,5000,1221.109867
890,40,10,1000,70,70,70,100,11.63689547,16.8,72.72,5000,305.2774667
891,40,40,1000,70,70,70,100,11.63689547,27.6,72.72,5000,1221.109867
892,10,10,1300,70,70,70,100,11.17332413,12.3,72.72,8450,312.8858901
893,10,40,1300,70,70,70,100,11.17332413,30.3,72.72,8450,1251.54356
894,40,10,1300,70,70,70,100,11.17332413,31.2,72.72,8450,312.8858901
895,40,40,1300,70,70,70,100,11.17332413,49.2,72.72,8450,1251.54356
896,10,10,400,70,100,40,100,9.278582316,4.9,70.56,800,176.2980201
897,10,40,400,70,100,40,100,9.278582316,13,70.56,800,705.1920803
898,40,10,400,70,100,40,100,9.278582316,11.5,70.56,800,176.2980201
899,40,40,400,70,100,40,100,9.278582316,19.6,70.56,800,705.1920803
900,10,10,700,70,100,40,100,11.86609814,5.6,70.56,2450,260.5853402
901,10,40,700,70,100,40,100,11.86609814,14.9,70.56,2450,1042.341361
902,40,10,700,70,100,40,100,11.86609814,13.1,70.56,2450,260.5853402
903,40,40,700,70,100,40,100,11.86609814,22.4,70.56,2450,1042.341361
904,10,10,1000,70,100,40,100,10.69452174,6.7,70.56,5000,289.235727
905,10,40,1000,70,100,40,100,10.69452174,17.5,70.56,5000,1156.942908
906,40,10,1000,70,100,40,100,10.69452174,16,70.56,5000,289.235727
907,40,40,1000,70,100,40,100,10.69452174,26.8,70.56,5000,1156.942908
908,10,10,1300,70,100,40,100,10.51338616,12.8,70.56,8450,295.3049911
909,10,40,1300,70,100,40,100,10.51338616,32.9,70.56,8450,1181.219964
910,40,10,1300,70,100,40,100,10.51338616,31.1,70.56,8450,295.3049911
911,40,40,1300,70,100,40,100,10.51338616,51.2,70.56,8450,1181.219964
912,10,10,400,40,10,40,400,12.17780501,7.1,94.32,800,253.4667056
913,10,40,400,40,10,40,400,12.17780501,15.2,94.32,800,1013.866822
914,40,10,400,40,10,40,400,12.17780501,20.3,94.32,800,253.4667056
915,40,40,400,40,10,40,400,12.17780501,28.4,94.32,800,1013.866822
916,10,10,700,40,10,40,400,13.87694157,7.8,94.32,2450,409.8111545
917,10,40,700,40,10,40,400,13.87694157,17.4,94.32,2450,1639.244618
918,40,10,700,40,10,40,400,13.87694157,21.6,94.32,2450,409.8111545
919,40,40,700,40,10,40,400,13.87694157,31.2,94.32,2450,1639.244618
920,10,10,1000,40,10,40,400,12.66984266,9.8,94.32,5000,463.9899058
921,10,40,1000,40,10,40,400,12.66984266,20.9,94.32,5000,1855.959623
922,40,10,1000,40,10,40,400,12.66984266,28.1,94.32,5000,463.9899058
923,40,40,1000,40,10,40,400,12.66984266,39.2,94.32,5000,1855.959623
924,10,10,1300,40,10,40,400,12.26690982,17.8,94.32,8450,477.0233126
925,10,40,1300,40,10,40,400,12.26690982,36.7,94.32,8450,1908.09325
926,40,10,1300,40,10,40,400,12.26690982,52.3,94.32,8450,477.0233126
927,40,40,1300,40,10,40,400,12.26690982,71.2,94.32,8450,1908.09325
928,10,10,400,40,40,10,400,12.77788022,6.6,92.16,800,246.2635754
929,10,40,400,40,40,10,400,12.77788022,14.1,92.16,800,985.0543015
930,40,10,400,40,40,10,400,12.77788022,18.9,92.16,800,246.2635754
931,40,40,400,40,40,10,400,12.77788022,26.4,92.16,800,985.0543015
932,10,10,700,40,40,10,400,14.56533131,7.6,92.16,2450,403.4153558
933,10,40,700,40,40,10,400,14.56533131,17.2,92.16,2450,1613.661423
934,40,10,700,40,40,10,400,14.56533131,20.8,92.16,2450,403.4153558
935,40,40,700,40,40,10,400,14.56533131,30.4,92.16,2450,1613.661423
936,10,10,1000,40,40,10,400,13.28070663,9.1,92.16,5000,454.174107
937,10,40,1000,40,40,10,400,13.28070663,20.5,92.16,5000,1816.696428
938,40,10,1000,40,40,10,400,13.28070663,25,92.16,5000,454.174107
939,40,40,1000,40,40,10,400,13.28070663,36.4,92.16,5000,1816.696428
940,10,10,1300,40,40,10,400,12.96861716,19.4,92.16,8450,466.8676817
941,10,40,1300,40,40,10,400,12.96861716,41,92.16,8450,1867.470727
942,40,10,1300,40,40,10,400,12.96861716,56,92.16,8450,466.8676817
943,40,40,1300,40,40,10,400,12.96861716,77.6,92.16,8450,1867.470727
944,10,10,400,40,100,100,100,8.815811869,5.6,77.04,800,194.1472457
945,10,40,400,40,100,100,100,8.815811869,13.7,77.04,800,776.5889829
946,40,10,400,40,100,100,100,8.815811869,14.3,77.04,800,194.1472457
947,40,40,400,40,100,100,100,8.815811869,22.4,77.04,800,776.5889829
948,10,10,700,40,100,100,100,11.18322056,6.3,77.04,2450,284.1929571
949,10,40,700,40,100,100,100,11.18322056,15.9,77.04,2450,1136.771828
950,40,10,700,40,100,100,100,11.18322056,15.6,77.04,2450,284.1929571
951,40,40,700,40,100,100,100,11.18322056,25.2,77.04,2450,1136.771828
952,10,10,1000,40,100,100,100,10.07279711,7.7,77.04,5000,321.9786239
953,10,40,1000,40,100,100,100,10.07279711,18.8,77.04,5000,1287.914496
954,40,10,1000,40,100,100,100,10.07279711,19.7,77.04,5000,321.9786239
955,40,40,1000,40,100,100,100,10.07279711,30.8,77.04,5000,1287.914496
956,10,10,1300,40,100,100,100,9.904305627,15.8,77.04,8450,330.0046728
957,10,40,1300,40,100,100,100,9.904305627,38,77.04,8450,1320.018691
958,40,10,1300,40,100,100,100,9.904305627,41,77.04,8450,330.0046728
959,40,40,1300,40,100,100,100,9.904305627,63.2,77.04,8450,1320.018691
960,10,10,400,100,10,100,100,9.95898399,5.2,77.04,800,196.6913549
961,10,40,400,100,10,100,100,9.95898399,13,77.04,800,786.7654196
962,40,10,400,100,10,100,100,9.95898399,13,77.04,800,196.6913549
963,40,40,400,100,10,100,100,9.95898399,20.8,77.04,800,786.7654196
964,10,10,700,100,10,100,100,12.4684703,6.2,77.04,2450,300.3379039
965,10,40,700,100,10,100,100,12.4684703,16.1,77.04,2450,1201.351616
966,40,10,700,100,10,100,100,12.4684703,14.9,77.04,2450,300.3379039
967,40,40,700,100,10,100,100,12.4684703,24.8,77.04,2450,1201.351616
968,10,10,1000,100,10,100,100,11.57271631,7.2,77.04,5000,334.1941671
969,10,40,1000,100,10,100,100,11.57271631,18.3,77.04,5000,1336.776668
970,40,10,1000,100,10,100,100,11.57271631,17.7,77.04,5000,334.1941671
971,40,40,1000,100,10,100,100,11.57271631,28.8,77.04,5000,1336.776668
972,10,10,1300,100,10,100,100,11.23013389,13.8,77.04,8450,341.8302759
973,10,40,1300,100,10,100,100,11.23013389,33.3,77.04,8450,1367.321104
974,40,10,1300,100,10,100,100,11.23013389,35.7,77.04,8450,341.8302759
975,40,40,1300,100,10,100,100,11.23013389,55.2,77.04,8450,1367.321104
976,10,10,400,100,40,70,100,10.29707674,5.1,74.88,800,196.11399
977,10,40,400,100,40,70,100,10.29707674,12.9,74.88,800,784.4559599
978,40,10,400,100,40,70,100,10.29707674,12.6,74.88,800,196.11399
979,40,40,400,100,40,70,100,10.29707674,20.4,74.88,800,784.4559599
980,10,10,700,100,40,70,100,12.24481338,5.9,74.88,2450,286.2431352
981,10,40,700,100,40,70,100,12.24481338,15.5,74.88,2450,1144.972541
982,40,10,700,100,40,70,100,12.24481338,14,74.88,2450,286.2431352
983,40,40,700,100,40,70,100,12.24481338,23.6,74.88,2450,1144.972541
984,10,10,1000,100,40,70,100,11.13945583,7.1,74.88,5000,318.3263826
985,10,40,1000,100,40,70,100,11.13945583,18.5,74.88,5000,1273.30553
986,40,10,1000,100,40,70,100,11.13945583,17,74.88,5000,318.3263826
987,40,40,1000,100,40,70,100,11.13945583,28.4,74.88,5000,1273.30553
988,10,10,1300,100,40,70,100,10.93314544,13.1,74.88,8450,325.7271718
989,10,40,1300,100,40,70,100,10.93314544,31.4,74.88,8450,1302.908687
990,40,10,1300,100,40,70,100,10.93314544,34.1,74.88,8450,325.7271718
991,40,40,1300,100,40,70,100,10.93314544,52.4,74.88,8450,1302.908687
992,10,10,400,100,70,40,100,9.220365911,5.1,72.72,800,186.9150082
993,10,40,400,100,70,40,100,9.220365911,13.2,72.72,800,747.6600329
994,40,10,400,100,70,40,100,9.220365911,12.3,72.72,800,186.9150082
995,40,40,400,100,70,40,100,9.220365911,20.4,72.72,800,747.6600329
996,10,10,700,100,70,40,100,11.37106016,5.7,72.72,2450,270.2271877
997,10,40,700,100,70,40,100,11.37106016,15.3,72.72,2450,1080.908751
998,40,10,700,100,70,40,100,11.37106016,13.2,72.72,2450,270.2271877
999,40,40,700,100,70,40,100,11.37106016,22.8,72.72,2450,1080.908751
1000,10,10,1000,100,70,40,100,10.61898532,7.1,72.72,5000,300.982073
1001,10,40,1000,100,70,40,100,10.61898532,18.8,72.72,5000,1203.928292
1002,40,10,1000,100,70,40,100,10.61898532,16.7,72.72,5000,300.982073
1003,40,40,1000,100,70,40,100,10.61898532,28.4,72.72,5000,1203.928292
1004,10,10,1300,100,70,40,100,10.15785727,12.7,72.72,8450,308.4725137
1005,10,40,1300,100,70,40,100,10.15785727,29.5,72.72,8450,1233.890055
1006,40,10,1300,100,70,40,100,10.15785727,34,72.72,8450,308.4725137
1007,40,40,1300,100,70,40,100,10.15785727,50.8,72.72,8450,1233.890055
1008,10,10,400,100,100,10,100,8.222518426,4.9,70.56,800,176.2769601
1009,10,40,400,100,100,10,100,8.222518426,12.7,70.56,800,705.1078403
1010,40,10,400,100,100,10,100,8.222518426,11.8,70.56,800,176.2769601
1011,40,40,400,100,100,10,100,8.222518426,19.6,70.56,800,705.1078403
1012,10,10,700,100,100,10,100,10.8280241,5.7,70.56,2450,254.662029
1013,10,40,700,100,100,10,100,10.8280241,15.3,70.56,2450,1018.648116
1014,40,10,700,100,100,10,100,10.8280241,13.2,70.56,2450,254.662029
1015,40,40,700,100,100,10,100,10.8280241,22.8,70.56,2450,1018.648116
1016,10,10,1000,100,100,10,100,9.910075692,6.8,70.56,5000,284.1436596
1017,10,40,1000,100,100,10,100,9.910075692,17.9,70.56,5000,1136.574638
1018,40,10,1000,100,100,10,100,9.910075692,16.1,70.56,5000,284.1436596
1019,40,40,1000,100,100,10,100,9.910075692,27.2,70.56,5000,1136.574638
1020,10,10,1300,100,100,10,100,9.584501687,13.2,70.56,8450,291.0687538
1021,10,40,1300,100,100,10,100,9.584501687,33.9,70.56,8450,1164.275015
1022,40,10,1300,100,100,10,100,9.584501687,32.1,70.56,8450,291.0687538
1023,40,40,1300,100,100,10,100,9.584501687,52.8,70.56,8450,1164.275015
1024,10,10,400,10,10,100,400,7.786845984,8,100.8,800,259.1524511
1025,10,40,400,10,10,100,400,7.786845984,15.8,100.8,800,1036.609804
1026,40,10,400,10,10,100,400,7.786845984,24.2,100.8,800,259.1524511
1027,40,40,400,10,10,100,400,7.786845984,32,100.8,800,1036.609804
1028,10,10,700,10,10,100,400,9.851332873,8.8,100.8,2450,389.5231337
1029,10,40,700,10,10,100,400,9.851332873,18.4,100.8,2450,1558.092535
1030,40,10,700,10,10,100,400,9.851332873,25.6,100.8,2450,389.5231337
1031,40,40,700,10,10,100,400,9.851332873,35.2,100.8,2450,1558.092535
1032,10,10,1000,10,10,100,400,9.033594671,10.8,100.8,5000,461.794137
1033,10,40,1000,10,10,100,400,9.033594671,22.2,100.8,5000,1847.176548
1034,40,10,1000,10,10,100,400,9.033594671,31.8,100.8,5000,461.794137
1035,40,40,1000,10,10,100,400,9.033594671,43.2,100.8,5000,1847.176548
1036,10,10,1300,10,10,100,400,8.57289773,21.3,100.8,8450,477.4462919
1037,10,40,1300,10,10,100,400,8.57289773,41.4,100.8,8450,1909.785168
1038,40,10,1300,10,10,100,400,8.57289773,65.1,100.8,8450,477.4462919
1039,40,40,1300,10,10,100,400,8.57289773,85.2,100.8,8450,1909.785168
1040,10,10,400,10,40,70,400,9.581658591,7.7,98.64,800,257.0200805
1041,10,40,400,10,40,70,400,9.581658591,15.5,98.64,800,1028.080322
1042,40,10,400,10,40,70,400,9.581658591,23,98.64,800,257.0200805
1043,40,40,400,10,40,70,400,9.581658591,30.8,98.64,800,1028.080322
1044,10,10,700,10,40,70,400,11.55204925,8.6,98.64,2450,392.8560101
1045,10,40,700,10,40,70,400,11.55204925,18.2,98.64,2450,1571.42404
1046,40,10,700,10,40,70,400,11.55204925,24.8,98.64,2450,392.8560101
1047,40,40,700,10,40,70,400,11.55204925,34.4,98.64,2450,1571.42404
1048,10,10,1000,10,40,70,400,10.16568598,10.2,98.64,5000,460.5484227
1049,10,40,1000,10,40,70,400,10.16568598,21,98.64,5000,1842.193691
1050,40,10,1000,10,40,70,400,10.16568598,30,98.64,5000,460.5484227
1051,40,40,1000,10,40,70,400,10.16568598,40.8,98.64,5000,1842.193691
1052,10,10,1300,10,40,70,400,9.829516342,21.1,98.64,8450,475.9481136
1053,10,40,1300,10,40,70,400,9.829516342,43.3,98.64,8450,1903.792454
1054,40,10,1300,10,40,70,400,9.829516342,62.2,98.64,8450,475.9481136
1055,40,40,1300,10,40,70,400,9.829516342,84.4,98.64,8450,1903.792454
1056,10,10,400,10,70,40,400,10.23808636,7.5,96.48,800,253.185126
1057,10,40,400,10,70,40,400,10.23808636,15.3,96.48,800,1012.740504
1058,40,10,400,10,70,40,400,10.23808636,22.2,96.48,800,253.185126
1059,40,40,400,10,70,40,400,10.23808636,30,96.48,800,1012.740504
1060,10,10,700,10,70,40,400,12.62456469,8.4,96.48,2450,389.3785417
1061,10,40,700,10,70,40,400,12.62456469,18.6,96.48,2450,1557.514167
1062,40,10,700,10,70,40,400,12.62456469,23.4,96.48,2450,389.3785417
1063,40,40,700,10,70,40,400,12.62456469,33.6,96.48,2450,1557.514167
1064,10,10,1000,10,70,40,400,10.94391033,10,96.48,5000,454.6263614
1065,10,40,1000,10,70,40,400,10.94391033,21.1,96.48,5000,1818.505446
1066,40,10,1000,10,70,40,400,10.94391033,28.9,96.48,5000,454.6263614
1067,40,40,1000,10,70,40,400,10.94391033,40,96.48,5000,1818.505446
1068,10,10,1300,10,70,40,400,10.62619728,18.8,96.48,8450,469.0595392
1069,10,40,1300,10,70,40,400,10.62619728,35.9,96.48,8450,1876.238157
1070,40,10,1300,10,70,40,400,10.62619728,58.1,96.48,8450,469.0595392
1071,40,40,1300,10,70,40,400,10.62619728,75.2,96.48,8450,1876.238157
1072,10,10,400,10,100,10,400,10.96900719,7.1,94.32,800,245.4199166
1073,10,40,400,10,100,10,400,10.96900719,14.9,94.32,800,981.6796664
1074,40,10,400,10,100,10,400,10.96900719,20.6,94.32,800,245.4199166
1075,40,40,400,10,100,10,400,10.96900719,28.4,94.32,800,981.6796664
1076,10,10,700,10,100,10,400,12.94445732,8,94.32,2450,382.0957996
1077,10,40,700,10,100,10,400,12.94445732,17.6,94.32,2450,1528.383198
1078,40,10,700,10,100,10,400,12.94445732,22.4,94.32,2450,382.0957996
1079,40,40,700,10,100,10,400,12.94445732,32,94.32,2450,1528.383198
1080,10,10,1000,10,100,10,400,11.47669091,9.5,94.32,5000,443.7916062
1081,10,40,1000,10,100,10,400,11.47669091,20.3,94.32,5000,1775.166425
1082,40,10,1000,10,100,10,400,11.47669091,27.2,94.32,5000,443.7916062
1083,40,40,1000,10,100,10,400,11.47669091,38,94.32,5000,1775.166425
1084,10,10,1300,10,100,10,400,10.88237835,19.5,94.32,8450,458.7306854
1085,10,40,1300,10,100,10,400,10.88237835,40.5,94.32,8450,1834.922742
1086,40,10,1300,10,100,10,400,10.88237835,57,94.32,8450,458.7306854
1087,40,40,1300,10,100,10,400,10.88237835,78,94.32,8450,1834.922742
1088,10,10,400,70,10,10,400,12.56327823,6.9,94.32,800,251.0235044
1089,10,40,400,70,10,10,400,12.56327823,14.7,94.32,800,1004.094018
1090,40,10,400,70,10,10,400,12.56327823,19.8,94.32,800,251.0235044
1091,40,40,400,70,10,10,400,12.56327823,27.6,94.32,800,1004.094018
1092,10,10,700,70,10,10,400,14.57516948,7.8,94.32,2450,406.3211134
1093,10,40,700,70,10,10,400,14.57516948,17.4,94.32,2450,1625.284453
1094,40,10,700,70,10,10,400,14.57516948,21.6,94.32,2450,406.3211134
1095,40,40,700,70,10,10,400,14.57516948,31.2,94.32,2450,1625.284453
1096,10,10,1000,70,10,10,400,13.10710801,9.7,94.32,5000,463.4064438
1097,10,40,1000,70,10,10,400,13.10710801,20.8,94.32,5000,1853.625775
1098,40,10,1000,70,10,10,400,13.10710801,27.7,94.32,5000,463.4064438
1099,40,40,1000,70,10,10,400,13.10710801,38.8,94.32,5000,1853.625775
