,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
1474,40,20,1300,10,100,100,100,11.81805728,32.2,70.56,8450,606.6713392
1475,40,40,1300,10,100,100,100,11.81805728,18.9,70.56,8450,1213.342678
1476,10,10,400,70,10,100,100,11.76023444,18.8,70.56,800,189.7212811
1477,10,20,400,70,10,100,100,11.76023444,4.7,70.56,800,379.4425622
1478,10,40,400,70,10,100,100,11.76023444,7.3,70.56,800,758.8851244
1479,20,10,400,70,10,100,100,11.76023444,12.5,70.56,800,189.7212811
1480,20,20,400,70,10,100,100,11.76023444,6.8,70.56,800,379.4425622
1481,20,40,400,70,10,100,100,11.76023444,9.4,70.56,800,758.8851244
1482,40,10,400,70,10,100,100,11.76023444,14.6,70.56,800,189.7212811
1483,40,20,400,70,10,100,100,11.76023444,11,70.56,800,379.4425622
1484,40,40,400,70,10,100,100,11.76023444,13.6,70.56,800,758.8851244
1485,10,10,700,70,10,100,100,14.38350907,7.8,70.56,2450,277.5411825
1486,10,20,700,70,10,100,100,14.38350907,11,70.56,2450,555.0823651
1487,10,40,700,70,10,100,100,14.38350907,17.4,70.56,2450,1110.16473
1488,20,10,700,70,10,100,100,14.38350907,12.4,70.56,2450,277.5411825
1489,20,20,700,70,10,100,100,14.38350907,15.6,70.56,2450,555.0823651
1490,20,40,700,70,10,100,100,14.38350907,22,70.56,2450,1110.16473
1491,40,10,700,70,10,100,100,14.38350907,5.5,70.56,2450,277.5411825
1492,40,20,700,70,10,100,100,14.38350907,8.7,70.56,2450,555.0823651
1493,40,40,700,70,10,100,100,14.38350907,15.1,70.56,2450,1110.16473
1494,10,10,1000,70,10,100,100,13.1959428,19.2,70.56,5000,301.9838077
1495,10,20,1000,70,10,100,100,13.1959428,26.8,70.56,5000,603.9676154
1496,10,40,1000,70,10,100,100,13.1959428,6.7,70.56,5000,1207.935231
1497,20,10,1000,70,10,100,100,13.1959428,10.5,70.56,5000,301.9838077
1498,20,20,1000,70,10,100,100,13.1959428,18.1,70.56,5000,603.9676154
1499,20,40,1000,70,10,100,100,13.1959428,9.6,70.56,5000,1207.935231
1500,40,10,1000,70,10,100,100,13.1959428,13.4,70.56,5000,301.9838077
1501,40,20,1000,70,10,100,100,13.1959428,21,70.56,5000,603.9676154
1502,40,40,1000,70,10,100,100,13.1959428,15.4,70.56,5000,1207.935231
1503,10,10,1300,70,10,100,100,12.80848459,32.4,70.56,8450,308.5132843
1504,10,20,1300,70,10,100,100,12.80848459,18.6,70.56,8450,617.0265686
1505,10,40,1300,70,10,100,100,12.80848459,25.2,70.56,8450,1234.053137
1506,20,10,1300,70,10,100,100,12.80848459,38.4,70.56,8450,308.5132843
1507,20,20,1300,70,10,100,100,12.80848459,30.6,70.56,8450,617.0265686
1508,20,40,1300,70,10,100,100,12.80848459,37.2,70.56,8450,1234.053137
1509,40,10,1300,70,10,100,100,12.80848459,50.4,70.56,8450,308.5132843
1510,40,20,1300,70,10,100,100,12.80848459,12.6,70.56,8450,617.0265686
1511,40,40,1300,70,10,100,100,12.80848459,19.2,70.56,8450,1234.053137
1512,10,10,400,70,40,70,100,11.6771004,10.2,68.4,800,182.5478896
1513,10,20,400,70,40,70,100,11.6771004,12.8,68.4,800,365.0957792
1514,10,40,400,70,40,70,100,11.6771004,18,68.4,800,730.1915584
1515,20,10,400,70,40,70,100,11.6771004,4.5,68.4,800,182.5478896
1516,20,20,400,70,40,70,100,11.6771004,7.1,68.4,800,365.0957792
1517,20,40,400,70,40,70,100,11.6771004,12.3,68.4,800,730.1915584
1518,40,10,400,70,40,70,100,11.6771004,6.4,68.4,800,182.5478896
1519,40,20,400,70,40,70,100,11.6771004,9,68.4,800,365.0957792
1520,40,40,400,70,40,70,100,11.6771004,14.2,68.4,800,730.1915584
1521,10,10,700,70,40,70,100,13.78450247,8.5,68.4,2450,262.4022387
1522,10,20,700,70,40,70,100,13.78450247,14.9,68.4,2450,524.8044774
1523,10,40,700,70,40,70,100,13.78450247,7.4,68.4,2450,1049.608955
1524,20,10,700,70,40,70,100,13.78450247,10.6,68.4,2450,262.4022387
1525,20,20,700,70,40,70,100,13.78450247,17,68.4,2450,524.8044774
1526,20,40,700,70,40,70,100,13.78450247,11.6,68.4,2450,1049.608955
1527,40,10,700,70,40,70,100,13.78450247,14.8,68.4,2450,262.4022387
1528,40,20,700,70,40,70,100,13.78450247,21.2,68.4,2450,524.8044774
1529,40,40,700,70,40,70,100,13.78450247,5.3,68.4,2450,1049.608955
1530,10,10,1000,70,40,70,100,12.87349356,21,68.4,5000,285.3944666
1531,10,20,1000,70,40,70,100,12.87349356,14.7,68.4,5000,570.7889333
1532,10,40,1000,70,40,70,100,12.87349356,18.6,68.4,5000,1141.577867
1533,20,10,1000,70,40,70,100,12.87349356,26.4,68.4,5000,285.3944666
1534,20,20,1000,70,40,70,100,12.87349356,6.6,68.4,5000,570.7889333
1535,20,40,1000,70,40,70,100,12.87349356,10.5,68.4,5000,1141.577867
1536,40,10,1000,70,40,70,100,12.87349356,18.3,68.4,5000,285.3944666
1537,40,20,1000,70,40,70,100,12.87349356,9.3,68.4,5000,570.7889333
1538,40,40,1000,70,40,70,100,12.87349356,13.2,68.4,5000,1141.577867
1539,10,10,1300,70,40,70,100,12.41100974,11.2,68.4,8450,290.8208596
1540,10,20,1300,70,40,70,100,12.41100974,17.6,68.4,8450,581.6417192
1541,10,40,1300,70,40,70,100,12.41100974,30.4,68.4,8450,1163.283438
1542,20,10,1300,70,40,70,100,12.41100974,16,68.4,8450,290.8208596
1543,20,20,1300,70,40,70,100,12.41100974,22.4,68.4,8450,581.6417192
1544,20,40,1300,70,40,70,100,12.41100974,35.2,68.4,8450,1163.283438
1545,40,10,1300,70,40,70,100,12.41100974,25.6,68.4,8450,290.8208596
1546,40,20,1300,70,40,70,100,12.41100974,32,68.4,8450,581.6417192
1547,40,40,1300,70,40,70,100,12.41100974,44.8,68.4,8450,1163.283438
1548,10,10,400,70,70,40,100,10.7812214,9,66.24,800,171.7093619
1549,10,20,400,70,70,40,100,10.7812214,14.4,66.24,800,343.4187239
1550,10,40,400,70,70,40,100,10.7812214,9.9,66.24,800,686.8374477
1551,20,10,400,70,70,40,100,10.7812214,12.6,66.24,800,171.7093619
1552,20,20,400,70,70,40,100,10.7812214,18,66.24,800,343.4187239
1553,20,40,400,70,70,40,100,10.7812214,4.5,66.24,800,686.8374477
1554,40,10,400,70,70,40,100,10.7812214,7.2,66.24,800,171.7093619
1555,40,20,400,70,70,40,100,10.7812214,12.6,66.24,800,343.4187239
1556,40,40,400,70,70,40,100,10.7812214,6.3,66.24,800,686.8374477
1557,10,10,700,70,70,40,100,13.33946223,20.4,66.24,2450,246.3676992
1558,10,20,700,70,70,40,100,13.33946223,5.1,66.24,2450,492.7353984
1559,10,40,700,70,70,40,100,13.33946223,8.2,66.24,2450,985.4707968
1560,20,10,700,70,70,40,100,13.33946223,14.4,66.24,2450,246.3676992
1561,20,20,700,70,70,40,100,13.33946223,7.1,66.24,2450,492.7353984
1562,20,40,700,70,70,40,100,13.33946223,10.2,66.24,2450,985.4707968
1563,40,10,700,70,70,40,100,13.33946223,16.4,66.24,2450,246.3676992
1564,40,20,700,70,70,40,100,13.33946223,11.1,66.24,2450,492.7353984
1565,40,40,700,70,70,40,100,13.33946223,14.2,66.24,2450,985.4707968
1566,10,10,1000,70,70,40,100,12.0609768,8.5,66.24,5000,268.5403615
1567,10,20,1000,70,70,40,100,12.0609768,12,66.24,5000,537.0807229
1568,10,40,1000,70,70,40,100,12.0609768,19,66.24,5000,1074.161446
1569,20,10,1000,70,70,40,100,12.0609768,13.5,66.24,5000,268.5403615
1570,20,20,1000,70,70,40,100,12.0609768,17,66.24,5000,537.0807229
1571,20,40,1000,70,70,40,100,12.0609768,24,66.24,5000,1074.161446
1572,40,10,1000,70,70,40,100,12.0609768,6,66.24,5000,268.5403615
1573,40,20,1000,70,70,40,100,12.0609768,9.5,66.24,5000,537.0807229
1574,40,40,1000,70,70,40,100,12.0609768,16.5,66.24,5000,1074.161446
1575,10,10,1300,70,70,40,100,12.11738726,33.8,66.24,8450,273.0923245
1576,10,20,1300,70,70,40,100,12.11738726,47.6,66.24,8450,546.1846489
1577,10,40,1300,70,70,40,100,12.11738726,11.9,66.24,8450,1092.369298
1578,20,10,1300,70,70,40,100,12.11738726,18.8,66.24,8450,273.0923245
1579,20,20,1300,70,70,40,100,12.11738726,32.6,66.24,8450,546.1846489
1580,20,40,1300,70,70,40,100,12.11738726,16.9,66.24,8450,1092.369298
1581,40,10,1300,70,70,40,100,12.11738726,23.8,66.24,8450,273.0923245
1582,40,20,1300,70,70,40,100,12.11738726,37.6,66.24,8450,546.1846489
1583,40,40,1300,70,70,40,100,12.11738726,26.9,66.24,8450,1092.369298
1584,10,10,400,70,100,10,100,10.0159112,12.1,64.08,800,160.3601236
1585,10,20,400,70,100,10,100,10.0159112,6,64.08,800,320.7202471
1586,10,40,400,70,100,10,100,10.0159112,8.6,64.08,800,641.4404942
1587,20,10,400,70,100,10,100,10.0159112,13.8,64.08,800,160.3601236
1588,20,20,400,70,100,10,100,10.0159112,9.4,64.08,800,320.7202471
1589,20,40,400,70,100,10,100,10.0159112,12,64.08,800,641.4404942
1590,40,10,400,70,100,10,100,10.0159112,17.2,64.08,800,160.3601236
1591,40,20,400,70,100,10,100,10.0159112,4.3,64.08,800,320.7202471
1592,40,40,400,70,100,10,100,10.0159112,6.9,64.08,800,641.4404942
1593,10,10,700,70,100,10,100,12.6583623,11.2,64.08,2450,231.4815673
1594,10,20,700,70,100,10,100,12.6583623,14.4,64.08,2450,462.9631346
1595,10,40,700,70,100,10,100,12.6583623,20.8,64.08,2450,925.9262692
1596,20,10,700,70,100,10,100,12.6583623,5.2,64.08,2450,231.4815673
1597,20,20,700,70,100,10,100,12.6583623,8.4,64.08,2450,462.9631346
1598,20,40,700,70,100,10,100,12.6583623,14.8,64.08,2450,925.9262692
1599,40,10,700,70,100,10,100,12.6583623,7.2,64.08,2450,231.4815673
1600,40,20,700,70,100,10,100,12.6583623,10.4,64.08,2450,462.9631346
1601,40,40,700,70,100,10,100,12.6583623,16.8,64.08,2450,925.9262692
1602,10,10,1000,70,100,10,100,11.69192156,9.5,64.08,5000,251.6726735
1603,10,20,1000,70,100,10,100,11.69192156,16.7,64.08,5000,503.3453471
1604,10,40,1000,70,100,10,100,11.69192156,8.2,64.08,5000,1006.690694
1605,20,10,1000,70,100,10,100,11.69192156,11.8,64.08,5000,251.6726735
1606,20,20,1000,70,100,10,100,11.69192156,19,64.08,5000,503.3453471
1607,20,40,1000,70,100,10,100,11.69192156,12.8,64.08,5000,1006.690694
1608,40,10,1000,70,100,10,100,11.69192156,16.4,64.08,5000,251.6726735
1609,40,20,1000,70,100,10,100,11.69192156,23.6,64.08,5000,503.3453471
1610,40,40,1000,70,100,10,100,11.69192156,5.9,64.08,5000,1006.690694
1611,10,10,1300,70,100,10,100,11.23491263,37.4,64.08,8450,257.4352475
1612,10,20,1300,70,100,10,100,11.23491263,25.1,64.08,8450,514.8704951
1613,10,40,1300,70,100,10,100,11.23491263,32.2,64.08,8450,1029.74099
1614,20,10,1300,70,100,10,100,11.23491263,46.4,64.08,8450,257.4352475
1615,20,20,1300,70,100,10,100,11.23491263,11.6,64.08,8450,514.8704951
1616,20,40,1300,70,100,10,100,11.23491263,18.7,64.08,8450,1029.74099
1617,40,10,1300,70,100,10,100,11.23491263,32.9,64.08,8450,257.4352475
1618,40,20,1300,70,100,10,100,11.23491263,16.1,64.08,8450,514.8704951
1619,40,40,1300,70,100,10,100,11.23491263,23.2,64.08,8450,1029.74099
1620,10,10,400,40,10,10,400,14.7108686,6.2,87.84,800,238.4766182
1621,10,20,400,40,10,10,400,14.7108686,8.9,87.84,800,476.9532363
1622,10,40,400,40,10,10,400,14.7108686,14.3,87.84,800,953.9064727
1623,20,10,400,40,10,10,400,14.7108686,9.7,87.84,800,238.4766182
1624,20,20,400,40,10,10,400,14.7108686,12.4,87.84,800,476.9532363
1625,20,40,400,40,10,10,400,14.7108686,17.8,87.84,800,953.9064727
1626,40,10,400,40,10,10,400,14.7108686,16.7,87.84,800,238.4766182
1627,40,20,400,40,10,10,400,14.7108686,19.4,87.84,800,476.9532363
1628,40,40,400,40,10,10,400,14.7108686,24.8,87.84,800,953.9064727
1629,10,10,700,40,10,10,400,16.13373729,14.2,87.84,2450,400.5660367
1630,10,20,700,40,10,10,400,16.13373729,20.6,87.84,2450,801.1320733
1631,10,40,700,40,10,10,400,16.13373729,18.8,87.84,2450,1602.264147
1632,20,10,700,40,10,10,400,16.13373729,22,87.84,2450,400.5660367
1633,20,20,700,40,10,10,400,16.13373729,28.4,87.84,2450,801.1320733
1634,20,40,700,40,10,10,400,16.13373729,7.1,87.84,2450,1602.264147
1635,40,10,700,40,10,10,400,16.13373729,10.3,87.84,2450,400.5660367
1636,40,20,700,40,10,10,400,16.13373729,16.7,87.84,2450,801.1320733
1637,40,40,700,40,10,10,400,16.13373729,11,87.84,2450,1602.264147
1638,10,10,1000,40,10,10,400,14.91804423,34.4,87.84,5000,442.6970475
1639,10,20,1000,40,10,10,400,14.91804423,8.6,87.84,5000,885.394095
1640,10,40,1000,40,10,10,400,14.91804423,12.4,87.84,5000,1770.78819
1641,20,10,1000,40,10,10,400,14.91804423,20,87.84,5000,442.6970475
1642,20,20,1000,40,10,10,400,14.91804423,13.4,87.84,5000,885.394095
1643,20,40,1000,40,10,10,400,14.91804423,17.2,87.84,5000,1770.78819
1644,40,10,1000,40,10,10,400,14.91804423,24.8,87.84,5000,442.6970475
1645,40,20,1000,40,10,10,400,14.91804423,23,87.84,5000,885.394095
1646,40,40,1000,40,10,10,400,14.91804423,26.8,87.84,5000,1770.78819
1647,10,10,1300,40,10,10,400,14.27713175,26.3,87.84,8450,454.0927492
1648,10,20,1300,40,10,10,400,14.27713175,33.2,87.84,8450,908.1854984
1649,10,40,1300,40,10,10,400,14.27713175,47,87.84,8450,1816.370997
1650,20,10,1300,40,10,10,400,14.27713175,45.7,87.84,8450,454.0927492
1651,20,20,1300,40,10,10,400,14.27713175,52.6,87.84,8450,908.1854984
1652,20,40,1300,40,10,10,400,14.27713175,66.4,87.84,8450,1816.370997
1653,40,10,1300,40,10,10,400,14.27713175,16.6,87.84,8450,454.0927492
1654,40,20,1300,40,10,10,400,14.27713175,23.5,87.84,8450,908.1854984
1655,40,40,1300,40,10,10,400,14.27713175,37.3,87.84,8450,1816.370997
1656,10,10,400,40,70,100,100,10.77362607,14.8,72.72,800,186.6307978
1657,10,20,400,40,70,100,100,10.77362607,20,72.72,800,373.2615955
1658,10,40,400,40,70,100,100,10.77362607,5,72.72,800,746.5231911
1659,20,10,400,40,70,100,100,10.77362607,7.6,72.72,800,186.6307978
1660,20,20,400,40,70,100,100,10.77362607,12.8,72.72,800,373.2615955
1661,20,40,400,40,70,100,100,10.77362607,7.4,72.72,800,746.5231911
1662,40,10,400,40,70,100,100,10.77362607,10,72.72,800,186.6307978
1663,40,20,400,40,70,100,100,10.77362607,15.2,72.72,800,373.2615955
1664,40,40,400,40,70,100,100,10.77362607,12.2,72.72,800,746.5231911
1665,10,10,700,40,70,100,100,13.08461022,15.4,72.72,2450,281.7032971
1666,10,20,700,40,70,100,100,13.08461022,8.4,72.72,2450,563.4065942
1667,10,40,700,40,70,100,100,13.08461022,11.6,72.72,2450,1126.813188
1668,20,10,700,40,70,100,100,13.08461022,18,72.72,2450,281.7032971
1669,20,20,700,40,70,100,100,13.08461022,13.6,72.72,2450,563.4065942
1670,20,40,700,40,70,100,100,13.08461022,16.8,72.72,2450,1126.813188
1671,40,10,700,40,70,100,100,13.08461022,23.2,72.72,2450,281.7032971
1672,40,20,700,40,70,100,100,13.08461022,5.8,72.72,2450,563.4065942
1673,40,40,700,40,70,100,100,13.08461022,9,72.72,2450,1126.813188
1674,10,10,1000,40,70,100,100,12.38901882,17.1,72.72,5000,309.79678
1675,10,20,1000,40,70,100,100,12.38901882,21,72.72,5000,619.59356
1676,10,40,1000,40,70,100,100,12.38901882,28.8,72.72,5000,1239.18712
1677,20,10,1000,40,70,100,100,12.38901882,7.2,72.72,5000,309.79678
1678,20,20,1000,40,70,100,100,12.38901882,11.1,72.72,5000,619.59356
1679,20,40,1000,40,70,100,100,12.38901882,18.9,72.72,5000,1239.18712
1680,40,10,1000,40,70,100,100,12.38901882,10.5,72.72,5000,309.79678
1681,40,20,1000,40,70,100,100,12.38901882,14.4,72.72,5000,619.59356
1682,40,40,1000,40,70,100,100,12.38901882,22.2,72.72,5000,1239.18712
1683,10,10,1300,40,70,100,100,11.95234097,21.7,72.72,8450,317.0900769
1684,10,20,1300,40,70,100,100,11.95234097,36.7,72.72,8450,634.1801537
1685,10,40,1300,40,70,100,100,11.95234097,20.9,72.72,8450,1268.360307
1686,20,10,1300,40,70,100,100,11.95234097,28.4,72.72,8450,317.0900769
1687,20,20,1300,40,70,100,100,11.95234097,43.4,72.72,8450,634.1801537
1688,20,40,1300,40,70,100,100,11.95234097,34.3,72.72,8450,1268.360307
1689,40,10,1300,40,70,100,100,11.95234097,41.8,72.72,8450,317.0900769
1690,40,20,1300,40,70,100,100,11.95234097,56.8,72.72,8450,634.1801537
1691,40,40,1300,40,70,100,100,11.95234097,14.2,72.72,8450,1268.360307
1692,10,10,400,40,100,70,100,10.14804134,15.2,70.56,800,176.6488644
1693,10,20,400,40,100,70,100,10.14804134,11.5,70.56,800,353.2977288
1694,10,40,400,40,100,70,100,10.14804134,14.2,70.56,800,706.5954577
1695,20,10,400,40,100,70,100,10.14804134,19.6,70.56,800,176.6488644
1696,20,20,400,40,100,70,100,10.14804134,4.9,70.56,800,353.2977288
1697,20,40,400,40,100,70,100,10.14804134,7.6,70.56,800,706.5954577
1698,40,10,400,40,100,70,100,10.14804134,13,70.56,800,176.6488644
1699,40,20,400,40,100,70,100,10.14804134,7.1,70.56,800,353.2977288
1700,40,40,400,40,100,70,100,10.14804134,9.8,70.56,800,706.5954577
1701,10,10,700,40,100,70,100,12.83659133,5.6,70.56,2450,265.2969318
1702,10,20,700,40,100,70,100,12.83659133,8.8,70.56,2450,530.5938637
1703,10,40,700,40,100,70,100,12.83659133,15.2,70.56,2450,1061.187727
1704,20,10,700,40,100,70,100,12.83659133,8,70.56,2450,265.2969318
1705,20,20,700,40,100,70,100,12.83659133,11.2,70.56,2450,530.5938637
1706,20,40,700,40,100,70,100,12.83659133,17.6,70.56,2450,1061.187727
1707,40,10,700,40,100,70,100,12.83659133,12.8,70.56,2450,265.2969318
1708,40,20,700,40,100,70,100,12.83659133,16,70.56,2450,530.5938637
1709,40,40,700,40,100,70,100,12.83659133,22.4,70.56,2450,1061.187727
1710,10,10,1000,40,100,70,100,11.58465025,13.6,70.56,5000,293.2882869
1711,10,20,1000,40,100,70,100,11.58465025,21,70.56,5000,586.5765739
1712,10,40,1000,40,100,70,100,11.58465025,16.1,70.56,5000,1173.153148
1713,20,10,1000,40,100,70,100,11.58465025,19.8,70.56,5000,293.2882869
1714,20,20,1000,40,100,70,100,11.58465025,27.2,70.56,5000,586.5765739
1715,20,40,1000,40,100,70,100,11.58465025,6.8,70.56,5000,1173.153148
1716,40,10,1000,40,100,70,100,11.58465025,10.5,70.56,5000,293.2882869
1717,40,20,1000,40,100,70,100,11.58465025,17.9,70.56,5000,586.5765739
1718,40,40,1000,40,100,70,100,11.58465025,9.9,70.56,5000,1173.153148
1719,10,10,1300,40,100,70,100,11.33083142,53.2,70.56,8450,299.7516679
1720,10,20,1300,40,100,70,100,11.33083142,13.3,70.56,8450,599.5033359
1721,10,40,1300,40,100,70,100,11.33083142,20.5,70.56,8450,1199.006672
1722,20,10,1300,40,100,70,100,11.33083142,34.9,70.56,8450,299.7516679
1723,20,20,1300,40,100,70,100,11.33083142,19.4,70.56,8450,599.5033359
1724,20,40,1300,40,100,70,100,11.33083142,26.6,70.56,8450,1199.006672
1725,40,10,1300,40,100,70,100,11.33083142,41,70.56,8450,299.7516679
1726,40,20,1300,40,100,70,100,11.33083142,31.6,70.56,8450,599.5033359
1727,40,40,1300,40,100,70,100,11.33083142,38.8,70.56,8450,1199.006672
1728,10,10,400,100,10,70,100,11.38293486,6.5,70.56,800,195.4605482
1729,10,20,400,100,10,70,100,11.38293486,9,70.56,800,390.9210965
1730,10,40,400,100,10,70,100,11.38293486,14,70.56,800,781.842193
1731,20,10,400,100,10,70,100,11.38293486,10.5,70.56,800,195.4605482
1732,20,20,400,100,10,70,100,11.38293486,13,70.56,800,390.9210965
1733,20,40,400,100,10,70,100,11.38293486,18,70.56,800,781.842193
1734,40,10,400,100,10,70,100,11.38293486,4.5,70.56,800,195.4605482
1735,40,20,400,100,10,70,100,11.38293486,7,70.56,800,390.9210965
1736,40,40,400,100,10,70,100,11.38293486,12,70.56,800,781.842193
1737,10,10,700,100,10,70,100,12.88964513,15.4,70.56,2450,273.7822009
1738,10,20,700,100,10,70,100,12.88964513,21.6,70.56,2450,547.5644018
1739,10,40,700,100,10,70,100,12.88964513,5.4,70.56,2450,1095.128804
1740,20,10,700,100,10,70,100,12.88964513,8.5,70.56,2450,273.7822009
1741,20,20,700,100,10,70,100,12.88964513,14.7,70.56,2450,547.5644018
1742,20,40,700,100,10,70,100,12.88964513,7.7,70.56,2450,1095.128804
1743,40,10,700,100,10,70,100,12.88964513,10.8,70.56,2450,273.7822009
1744,40,20,700,100,10,70,100,12.88964513,17,70.56,2450,547.5644018
1745,40,40,700,100,10,70,100,12.88964513,12.3,70.56,2450,1095.128804
1746,10,10,1000,100,10,70,100,12.05217455,18.4,70.56,5000,297.8730014
1747,10,20,1000,100,10,70,100,12.05217455,9.5,70.56,5000,595.7460028
1748,10,40,1000,100,10,70,100,12.05217455,13.4,70.56,5000,1191.492006
1749,20,10,1000,100,10,70,100,12.05217455,21.2,70.56,5000,297.8730014
1750,20,20,1000,100,10,70,100,12.05217455,15.1,70.56,5000,595.7460028
1751,20,40,1000,100,10,70,100,12.05217455,19,70.56,5000,1191.492006
1752,40,10,1000,100,10,70,100,12.05217455,26.8,70.56,5000,297.8730014
1753,40,20,1000,100,10,70,100,12.05217455,6.7,70.56,5000,595.7460028
1754,40,40,1000,100,10,70,100,12.05217455,10.6,70.56,5000,1191.492006
1755,10,10,1300,100,10,70,100,11.57772883,31.4,70.56,8450,304.4780987
1756,10,20,1300,100,10,70,100,11.57772883,38.8,70.56,8450,608.9561973
1757,10,40,1300,100,10,70,100,11.57772883,53.6,70.56,8450,1217.912395
1758,20,10,1300,100,10,70,100,11.57772883,13.4,70.56,8450,304.4780987
1759,20,20,1300,100,10,70,100,11.57772883,20.8,70.56,8450,608.9561973
1760,20,40,1300,100,10,70,100,11.57772883,35.6,70.56,8450,1217.912395
1761,40,10,1300,100,10,70,100,11.57772883,19.4,70.56,8450,304.4780987
1762,40,20,1300,100,10,70,100,11.57772883,26.8,70.56,8450,608.9561973
1763,40,40,1300,100,10,70,100,11.57772883,41.6,70.56,8450,1217.912395
1764,10,10,400,100,40,40,100,10.44602434,7.1,68.4,800,186.2596859
1765,10,20,400,100,40,40,100,10.44602434,12.3,68.4,800,372.5193718
1766,10,40,400,100,40,40,100,10.44602434,6.4,68.4,800,745.0387435
1767,20,10,400,100,40,40,100,10.44602434,9,68.4,800,186.2596859
1768,20,20,400,100,40,40,100,10.44602434,14.2,68.4,800,372.5193718
1769,20,40,400,100,40,40,100,10.44602434,10.2,68.4,800,745.0387435
1770,40,10,400,100,40,40,100,10.44602434,12.8,68.4,800,186.2596859
1771,40,20,400,100,40,40,100,10.44602434,18,68.4,800,372.5193718
1772,40,40,400,100,40,40,100,10.44602434,4.5,68.4,800,745.0387435
1773,10,10,700,100,40,40,100,12.35684341,17.2,68.4,2450,257.4452686
1774,10,20,700,100,40,40,100,12.35684341,12,68.4,2450,514.8905372
1775,10,40,700,100,40,40,100,12.35684341,15.2,68.4,2450,1029.781074
1776,20,10,700,100,40,40,100,12.35684341,21.6,68.4,2450,257.4452686
1777,20,20,700,100,40,40,100,12.35684341,5.4,68.4,2450,514.8905372
1778,20,40,700,100,40,40,100,12.35684341,8.6,68.4,2450,1029.781074
1779,40,10,700,100,40,40,100,12.35684341,15,68.4,2450,257.4452686
1780,40,20,700,100,40,40,100,12.35684341,7.6,68.4,2450,514.8905372
1781,40,40,700,100,40,40,100,12.35684341,10.8,68.4,2450,1029.781074
1782,10,10,1000,100,40,40,100,11.71758769,6.4,68.4,5000,280.7698671
1783,10,20,1000,100,40,40,100,11.71758769,10.1,68.4,5000,561.5397343
1784,10,40,1000,100,40,40,100,11.71758769,17.5,68.4,5000,1123.079469
1785,20,10,1000,100,40,40,100,11.71758769,9.1,68.4,5000,280.7698671
1786,20,20,1000,100,40,40,100,11.71758769,12.8,68.4,5000,561.5397343
1787,20,40,1000,100,40,40,100,11.71758769,20.2,68.4,5000,1123.079469
1788,40,10,1000,100,40,40,100,11.71758769,14.5,68.4,5000,280.7698671
1789,40,20,1000,100,40,40,100,11.71758769,18.2,68.4,5000,561.5397343
1790,40,40,1000,100,40,40,100,11.71758769,25.6,68.4,5000,1123.079469
1791,10,10,1300,100,40,40,100,11.24645458,24,68.4,8450,286.7536157
1792,10,20,1300,100,40,40,100,11.24645458,37,68.4,8450,573.5072314
1793,10,40,1300,100,40,40,100,11.24645458,28.5,68.4,8450,1147.014463
1794,20,10,1300,100,40,40,100,11.24645458,35,68.4,8450,286.7536157
1795,20,20,1300,100,40,40,100,11.24645458,48,68.4,8450,573.5072314
1796,20,40,1300,100,40,40,100,11.24645458,12,68.4,8450,1147.014463
1797,40,10,1300,100,40,40,100,11.24645458,18.5,68.4,8450,286.7536157
1798,40,20,1300,100,40,40,100,11.24645458,31.5,68.4,8450,573.5072314
1799,40,40,1300,100,40,40,100,11.24645458,17.5,68.4,8450,1147.014463
1800,10,10,400,100,70,10,100,9.95653892,18,66.24,800,174.3234915
1801,10,20,400,100,70,10,100,9.95653892,4.5,66.24,800,348.646983
1802,10,40,400,100,70,10,100,9.95653892,7.2,66.24,800,697.293966
1803,20,10,400,100,70,10,100,9.95653892,12.6,66.24,800,174.3234915
1804,20,20,400,100,70,10,100,9.95653892,6.3,66.24,800,348.646983
1805,20,40,400,100,70,10,100,9.95653892,9,66.24,800,697.293966
1806,40,10,400,100,70,10,100,9.95653892,14.4,66.24,800,174.3234915
1807,40,20,400,100,70,10,100,9.95653892,9.9,66.24,800,348.646983
1808,40,40,400,100,70,10,100,9.95653892,12.6,66.24,800,697.293966
1809,10,10,700,100,70,10,100,11.98184236,7.4,66.24,2450,241.4340097
1810,10,20,700,100,70,10,100,11.98184236,10.6,66.24,2450,482.8680194
1811,10,40,700,100,70,10,100,11.98184236,17,66.24,2450,965.7360389
1812,20,10,700,100,70,10,100,11.98184236,11.6,66.24,2450,241.4340097
1813,20,20,700,100,70,10,100,11.98184236,14.8,66.24,2450,482.8680194
1814,20,40,700,100,70,10,100,11.98184236,21.2,66.24,2450,965.7360389
1815,40,10,700,100,70,10,100,11.98184236,5.3,66.24,2450,241.4340097
1816,40,20,700,100,70,10,100,11.98184236,8.5,66.24,2450,482.8680194
1817,40,40,700,100,70,10,100,11.98184236,14.9,66.24,2450,965.7360389
1818,10,10,1000,100,70,10,100,11.01150055,16.8,66.24,5000,263.9842433
1819,10,20,1000,100,70,10,100,11.01150055,24,66.24,5000,527.9684867
1820,10,40,1000,100,70,10,100,11.01150055,6,66.24,5000,1055.936973
1821,20,10,1000,100,70,10,100,11.01150055,9.6,66.24,5000,263.9842433
1822,20,20,1000,100,70,10,100,11.01150055,16.8,66.24,5000,527.9684867
