,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
152,40,40,400,10,10,70,100,10.78568718,3.5,51.12,800,483.6127552
153,10,10,700,10,10,70,100,12.63888079,14.2,51.12,2450,149.0261959
154,10,20,700,10,10,70,100,12.63888079,6.7,51.12,2450,298.0523918
155,10,40,700,10,10,70,100,12.63888079,9.8,51.12,2450,596.1047835
156,20,10,700,10,10,70,100,12.63888079,16,51.12,2450,149.0261959
157,20,20,700,10,10,70,100,12.63888079,4,51.12,2450,298.0523918
158,20,40,700,10,10,70,100,12.63888079,7.1,51.12,2450,596.1047835
159,40,10,700,10,10,70,100,12.63888079,13.3,51.12,2450,149.0261959
160,40,20,700,10,10,70,100,12.63888079,4.9,51.12,2450,298.0523918
161,40,40,700,10,10,70,100,12.63888079,8,51.12,2450,596.1047835
162,10,10,1000,10,10,70,100,11.83723752,4.9,51.12,5000,157.7458956
163,10,20,1000,10,10,70,100,11.83723752,8.7,51.12,5000,315.4917911
164,10,40,1000,10,10,70,100,11.83723752,16.3,51.12,5000,630.9835823
165,20,10,1000,10,10,70,100,11.83723752,6,51.12,5000,157.7458956
166,20,20,1000,10,10,70,100,11.83723752,9.8,51.12,5000,315.4917911
167,20,40,1000,10,10,70,100,11.83723752,17.4,51.12,5000,630.9835823
168,40,10,1000,10,10,70,100,11.83723752,8.2,51.12,5000,157.7458956
169,40,20,1000,10,10,70,100,11.83723752,12,51.12,5000,315.4917911
170,40,40,1000,10,10,70,100,11.83723752,19.6,51.12,5000,630.9835823
171,10,10,1300,10,10,70,100,11.84663331,18,51.12,8450,159.9045674
172,10,20,1300,10,10,70,100,11.84663331,32.4,51.12,8450,319.8091349
173,10,40,1300,10,10,70,100,11.84663331,14.4,51.12,8450,639.6182697
174,20,10,1300,10,10,70,100,11.84663331,21.6,51.12,8450,159.9045674
175,20,20,1300,10,10,70,100,11.84663331,36,51.12,8450,319.8091349
176,20,40,1300,10,10,70,100,11.84663331,9,51.12,8450,639.6182697
177,40,10,1300,10,10,70,100,11.84663331,16.2,51.12,8450,159.9045674
178,40,20,1300,10,10,70,100,11.84663331,30.6,51.12,8450,319.8091349
179,40,40,1300,10,10,70,100,11.84663331,10.8,51.12,8450,639.6182697
180,10,10,400,10,40,40,100,10.73823933,13.2,48.96,800,108.4828078
181,10,20,400,10,40,40,100,10.73823933,3.3,48.96,800,216.9656157
182,10,40,400,10,40,40,100,10.73823933,5.9,48.96,800,433.9312314
183,20,10,400,10,40,40,100,10.73823933,11.1,48.96,800,108.4828078
184,20,20,400,10,40,40,100,10.73823933,4,48.96,800,216.9656157
185,20,40,400,10,40,40,100,10.73823933,6.6,48.96,800,433.9312314
186,40,10,400,10,40,40,100,10.73823933,11.8,48.96,800,108.4828078
187,40,20,400,10,40,40,100,10.73823933,5.4,48.96,800,216.9656157
188,40,40,400,10,40,40,100,10.73823933,8,48.96,800,433.9312314
189,10,10,700,10,40,40,100,12.08762875,4.8,48.96,2450,134.0746013
190,10,20,700,10,40,40,100,12.08762875,8,48.96,2450,268.1492026
191,10,40,700,10,40,40,100,12.08762875,14.4,48.96,2450,536.2984053
192,20,10,700,10,40,40,100,12.08762875,6.4,48.96,2450,134.0746013
193,20,20,700,10,40,40,100,12.08762875,9.6,48.96,2450,268.1492026
194,20,40,700,10,40,40,100,12.08762875,16,48.96,2450,536.2984053
195,40,10,700,10,40,40,100,12.08762875,4,48.96,2450,134.0746013
196,40,20,700,10,40,40,100,12.08762875,7.2,48.96,2450,268.1492026
197,40,40,700,10,40,40,100,12.08762875,13.6,48.96,2450,536.2984053
198,10,10,1000,10,40,40,100,11.43798401,11,48.96,5000,141.5645394
199,10,20,1000,10,40,40,100,11.43798401,18.4,48.96,5000,283.1290789
200,10,40,1000,10,40,40,100,11.43798401,4.6,48.96,5000,566.2581577
201,20,10,1000,10,40,40,100,11.43798401,8.3,48.96,5000,141.5645394
202,20,20,1000,10,40,40,100,11.43798401,15.7,48.96,5000,283.1290789
203,20,40,1000,10,40,40,100,11.43798401,5.5,48.96,5000,566.2581577
204,40,10,1000,10,40,40,100,11.43798401,9.2,48.96,5000,141.5645394
205,40,20,1000,10,40,40,100,11.43798401,16.6,48.96,5000,283.1290789
206,40,40,1000,10,40,40,100,11.43798401,7.3,48.96,5000,566.2581577
207,10,10,1300,10,40,40,100,11.18583879,27.6,48.96,8450,143.7890606
208,10,20,1300,10,40,40,100,11.18583879,9.7,48.96,8450,287.5781212
209,10,40,1300,10,40,40,100,11.18583879,16.2,48.96,8450,575.1562423
210,20,10,1300,10,40,40,100,11.18583879,29.2,48.96,8450,143.7890606
211,20,20,1300,10,40,40,100,11.18583879,12.9,48.96,8450,287.5781212
212,20,40,1300,10,40,40,100,11.18583879,19.4,48.96,8450,575.1562423
213,40,10,1300,10,40,40,100,11.18583879,32.4,48.96,8450,143.7890606
214,40,20,1300,10,40,40,100,11.18583879,8.1,48.96,8450,287.5781212
215,40,40,1300,10,40,40,100,11.18583879,14.6,48.96,8450,575.1562423
216,10,10,400,10,70,10,100,10.43453095,5.5,46.8,800,98.09928714
217,10,20,400,10,70,10,100,10.43453095,8.2,46.8,800,196.1985743
218,10,40,400,10,70,10,100,10.43453095,13.6,46.8,800,392.3971485
219,20,10,400,10,70,10,100,10.43453095,3.4,46.8,800,98.09928714
220,20,20,400,10,70,10,100,10.43453095,6.1,46.8,800,196.1985743
221,20,40,400,10,70,10,100,10.43453095,11.5,46.8,800,392.3971485
