Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
20,10,700,10,40,10,100,10.05895463,4.4,42.48,2450,88.2909128
20,20,700,10,40,10,100,10.05895463,7.8,42.48,2450,176.5818256
20,40,700,10,40,10,100,10.05895463,14.6,42.48,2450,353.1636512
40,10,700,10,40,10,100,10.05895463,5.4,42.48,2450,88.2909128
40,20,700,10,40,10,100,10.05895463,8.8,42.48,2450,176.5818256
40,40,700,10,40,10,100,10.05895463,15.6,42.48,2450,353.1636512
10,10,1000,10,40,10,100,9.608280972,8.6,42.48,5000,93.28722929
10,20,1000,10,40,10,100,9.608280972,16,42.48,5000,186.5744586
10,40,1000,10,40,10,100,9.608280972,6.1,42.48,5000,373.1489172
20,10,1000,10,40,10,100,9.608280972,9.8,42.48,5000,93.28722929
20,20,1000,10,40,10,100,9.608280972,17.2,42.48,5000,186.5744586
20,40,1000,10,40,10,100,9.608280972,4.3,42.48,5000,373.1489172
40,10,1000,10,40,10,100,9.608280972,8,42.48,5000,93.28722929
40,20,1000,10,40,10,100,9.608280972,15.4,42.48,5000,186.5744586
40,40,1000,10,40,10,100,9.608280972,4.9,42.48,5000,373.1489172
10,10,1300,10,40,10,100,9.746295626,30,42.48,8450,94.20453823
10,20,1300,10,40,10,100,9.746295626,7.5,42.48,8450,188.4090765
10,40,1300,10,40,10,100,9.746295626,13.9,42.48,8450,376.8181529
20,10,1300,10,40,10,100,9.746295626,26.7,42.48,8450,94.20453823
20,20,1300,10,40,10,100,9.746295626,8.6,42.48,8450,188.4090765
20,40,1300,10,40,10,100,9.746295626,15,42.48,8450,376.8181529
40,10,1300,10,40,10,100,9.746295626,27.8,42.48,8450,94.20453823
40,20,1300,10,40,10,100,9.746295626,10.8,42.48,8450,188.4090765
40,40,1300,10,40,10,100,9.746295626,17.2,42.48,8450,376.8181529
10,10,400,40,10,10,100,8.391657858,3.6,44.64,800,83.6322222
10,20,400,40,10,10,100,8.391657858,6.2,44.64,800,167.2644444
10,40,400,40,10,10,100,8.391657858,11.4,44.64,800,334.5288888
20,10,400,40,10,10,100,8.391657858,4.6,44.64,800,83.6322222
20,20,400,40,10,10,100,8.391657858,7.2,44.64,800,167.2644444
20,40,400,40,10,10,100,8.391657858,12.4,44.64,800,334.5288888
40,10,400,40,10,10,100,8.391657858,3.1,44.64,800,83.6322222
40,20,400,40,10,10,100,8.391657858,5.7,44.64,800,167.2644444
40,40,400,40,10,10,100,8.391657858,10.9,44.64,800,334.5288888
10,10,700,40,10,10,100,10.45402241,9,44.64,2450,100.7794005
10,20,700,40,10,10,100,10.45402241,15.6,44.64,2450,201.5588009
10,40,700,40,10,10,100,10.45402241,3.9,44.64,2450,403.1176019
20,10,700,40,10,10,100,10.45402241,7.2,44.64,2450,100.7794005
20,20,700,40,10,10,100,10.45402241,13.8,44.64,2450,201.5588009
20,40,700,40,10,10,100,10.45402241,4.5,44.64,2450,403.1176019
40,10,700,40,10,10,100,10.45402241,7.8,44.64,2450,100.7794005
40,20,700,40,10,10,100,10.45402241,14.4,44.64,2450,201.5588009
40,40,700,40,10,10,100,10.45402241,5.7,44.64,2450,403.1176019
10,10,1000,40,10,10,100,10.1952378,15.5,44.64,5000,105.9835109
10,20,1000,40,10,10,100,10.1952378,5.1,44.64,5000,211.9670218
10,40,1000,40,10,10,100,10.1952378,8.8,44.64,5000,423.9340436
20,10,1000,40,10,10,100,10.1952378,16.2,44.64,5000,105.9835109
20,20,1000,40,10,10,100,10.1952378,6.5,44.64,5000,211.9670218
20,40,1000,40,10,10,100,10.1952378,10.2,44.64,5000,423.9340436
40,10,1000,40,10,10,100,10.1952378,17.6,44.64,5000,105.9835109
40,20,1000,40,10,10,100,10.1952378,4.4,44.64,5000,211.9670218
40,40,1000,40,10,10,100,10.1952378,8.1,44.64,5000,423.9340436
10,10,1300,40,10,10,100,9.648323375,12.3,44.64,8450,107.7684512
10,20,1300,40,10,10,100,9.648323375,19.4,44.64,8450,215.5369025
10,40,1300,40,10,10,100,9.648323375,33.6,44.64,8450,431.0738049
20,10,1300,40,10,10,100,9.648323375,8.4,44.64,8450,107.7684512
20,20,1300,40,10,10,100,9.648323375,15.5,44.64,8450,215.5369025
20,40,1300,40,10,10,100,9.648323375,29.7,44.64,8450,431.0738049
40,10,1300,40,10,10,100,9.648323375,9.7,44.64,8450,107.7684512
40,20,1300,40,10,10,100,9.648323375,16.8,44.64,8450,215.5369025
40,40,1300,40,10,10,100,9.648323375,31,44.64,8450,431.0738049
10,10,400,10,10,70,100,10.78568718,6.2,51.12,800,120.9031888
10,20,400,10,10,70,100,10.78568718,11.6,51.12,800,241.8063776
10,40,400,10,10,70,100,10.78568718,4.3,51.12,800,483.6127552
20,10,400,10,10,70,100,10.78568718,7,51.12,800,120.9031888
20,20,400,10,10,70,100,10.78568718,12.4,51.12,800,241.8063776
20,40,400,10,10,70,100,10.78568718,5.9,51.12,800,483.6127552
40,10,400,10,10,70,100,10.78568718,8.6,51.12,800,120.9031888
40,20,400,10,10,70,100,10.78568718,14,51.12,800,241.8063776
40,40,400,10,10,70,100,10.78568718,3.5,51.12,800,483.6127552
10,10,700,10,10,70,100,12.63888079,14.2,51.12,2450,149.0261959
10,20,700,10,10,70,100,12.63888079,6.7,51.12,2450,298.0523918
10,40,700,10,10,70,100,12.63888079,9.8,51.12,2450,596.1047835
20,10,700,10,10,70,100,12.63888079,16,51.12,2450,149.0261959
20,20,700,10,10,70,100,12.63888079,4,51.12,2450,298.0523918
20,40,700,10,10,70,100,12.63888079,7.1,51.12,2450,596.1047835
40,10,700,10,10,70,100,12.63888079,13.3,51.12,2450,149.0261959
40,20,700,10,10,70,100,12.63888079,4.9,51.12,2450,298.0523918
40,40,700,10,10,70,100,12.63888079,8,51.12,2450,596.1047835
10,10,1000,10,10,70,100,11.83723752,4.9,51.12,5000,157.7458956
10,20,1000,10,10,70,100,11.83723752,8.7,51.12,5000,315.4917911
10,40,1000,10,10,70,100,11.83723752,16.3,51.12,5000,630.9835823
20,10,1000,10,10,70,100,11.83723752,6,51.12,5000,157.7458956
20,20,1000,10,10,70,100,11.83723752,9.8,51.12,5000,315.4917911
20,40,1000,10,10,70,100,11.83723752,17.4,51.12,5000,630.9835823
40,10,1000,10,10,70,100,11.83723752,8.2,51.12,5000,157.7458956
40,20,1000,10,10,70,100,11.83723752,12,51.12,5000,315.4917911
40,40,1000,10,10,70,100,11.83723752,19.6,51.12,5000,630.9835823
10,10,1300,10,10,70,100,11.84663331,18,51.12,8450,159.9045674
10,20,1300,10,10,70,100,11.84663331,32.4,51.12,8450,319.8091349
10,40,1300,10,10,70,100,11.84663331,14.4,51.12,8450,639.6182697
20,10,1300,10,10,70,100,11.84663331,21.6,51.12,8450,159.9045674
20,20,1300,10,10,70,100,11.84663331,36,51.12,8450,319.8091349
20,40,1300,10,10,70,100,11.84663331,9,51.12,8450,639.6182697
40,10,1300,10,10,70,100,11.84663331,16.2,51.12,8450,159.9045674
40,20,1300,10,10,70,100,11.84663331,30.6,51.12,8450,319.8091349
40,40,1300,10,10,70,100,11.84663331,10.8,51.12,8450,639.6182697
10,10,400,10,40,40,100,10.73823933,13.2,48.96,800,108.4828078
10,20,400,10,40,40,100,10.73823933,3.3,48.96,800,216.9656157
10,40,400,10,40,40,100,10.73823933,5.9,48.96,800,433.9312314
20,10,400,10,40,40,100,10.73823933,11.1,48.96,800,108.4828078
20,20,400,10,40,40,100,10.73823933,4,48.96,800,216.9656157
20,40,400,10,40,40,100,10.73823933,6.6,48.96,800,433.9312314
40,10,400,10,40,40,100,10.73823933,11.8,48.96,800,108.4828078
40,20,400,10,40,40,100,10.73823933,5.4,48.96,800,216.9656157
40,40,400,10,40,40,100,10.73823933,8,48.96,800,433.9312314
10,10,700,10,40,40,100,12.08762875,4.8,48.96,2450,134.0746013
10,20,700,10,40,40,100,12.08762875,8,48.96,2450,268.1492026
10,40,700,10,40,40,100,12.08762875,14.4,48.96,2450,536.2984053
