Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
40,40,700,10,70,100,100,14.87488132,8.5,66.24,2450,1017.725608
10,10,1000,10,70,100,100,13.8473376,13.7,66.24,5000,275.7601525
10,20,1000,10,70,100,100,13.8473376,17.4,66.24,5000,551.520305
10,40,1000,10,70,100,100,13.8473376,24.8,66.24,5000,1103.04061
20,10,1000,10,70,100,100,13.8473376,6.2,66.24,5000,275.7601525
20,20,1000,10,70,100,100,13.8473376,9.9,66.24,5000,551.520305
20,40,1000,10,70,100,100,13.8473376,17.3,66.24,5000,1103.04061
40,10,1000,10,70,100,100,13.8473376,8.7,66.24,5000,275.7601525
40,20,1000,10,70,100,100,13.8473376,12.4,66.24,5000,551.520305
40,40,1000,10,70,100,100,13.8473376,19.8,66.24,5000,1103.04061
10,10,1300,10,70,100,100,13.76847436,19.7,66.24,8450,280.9438853
10,20,1300,10,70,100,100,13.76847436,34.1,66.24,8450,561.8877705
10,40,1300,10,70,100,100,13.76847436,17.8,66.24,8450,1123.775541
20,10,1300,10,70,100,100,13.76847436,25,66.24,8450,280.9438853
20,20,1300,10,70,100,100,13.76847436,39.4,66.24,8450,561.8877705
20,40,1300,10,70,100,100,13.76847436,28.4,66.24,8450,1123.775541
40,10,1300,10,70,100,100,13.76847436,35.6,66.24,8450,280.9438853
40,20,1300,10,70,100,100,13.76847436,50,66.24,8450,561.8877705
40,40,1300,10,70,100,100,13.76847436,12.5,66.24,8450,1123.775541
10,10,400,10,100,70,100,11.56044687,14.2,64.08,800,155.2476426
10,20,400,10,100,70,100,11.56044687,9.5,64.08,800,310.4952852
10,40,400,10,100,70,100,11.56044687,12.2,64.08,800,620.9905704
20,10,400,10,100,70,100,11.56044687,17.6,64.08,800,155.2476426
20,20,400,10,100,70,100,11.56044687,4.4,64.08,800,310.4952852
20,40,400,10,100,70,100,11.56044687,7.1,64.08,800,620.9905704
40,10,400,10,100,70,100,11.56044687,12.5,64.08,800,155.2476426
40,20,400,10,100,70,100,11.56044687,6.1,64.08,800,310.4952852
40,40,400,10,100,70,100,11.56044687,8.8,64.08,800,620.9905704
10,10,700,10,100,70,100,14.36506105,5.1,64.08,2450,238.4024958
10,20,700,10,100,70,100,14.36506105,8.3,64.08,2450,476.8049915
10,40,700,10,100,70,100,14.36506105,14.7,64.08,2450,953.609983
20,10,700,10,100,70,100,14.36506105,7,64.08,2450,238.4024958
20,20,700,10,100,70,100,14.36506105,10.2,64.08,2450,476.8049915
20,40,700,10,100,70,100,14.36506105,16.6,64.08,2450,953.609983
40,10,700,10,100,70,100,14.36506105,10.8,64.08,2450,238.4024958
40,20,700,10,100,70,100,14.36506105,14,64.08,2450,476.8049915
40,40,700,10,100,70,100,14.36506105,20.4,64.08,2450,953.609983
10,10,1000,10,100,70,100,13.37576659,11.8,64.08,5000,258.0926959
10,20,1000,10,100,70,100,13.37576659,19,64.08,5000,516.1853918
10,40,1000,10,100,70,100,13.37576659,12.8,64.08,5000,1032.370784
20,10,1000,10,100,70,100,13.37576659,16.4,64.08,5000,258.0926959
20,20,1000,10,100,70,100,13.37576659,23.6,64.08,5000,516.1853918
20,40,1000,10,100,70,100,13.37576659,5.9,64.08,5000,1032.370784
40,10,1000,10,100,70,100,13.37576659,9.5,64.08,5000,258.0926959
40,20,1000,10,100,70,100,13.37576659,16.7,64.08,5000,516.1853918
40,40,1000,10,100,70,100,13.37576659,8.2,64.08,5000,1032.370784
10,10,1300,10,100,70,100,13.27154021,42.4,64.08,8450,262.7710674
10,20,1300,10,100,70,100,13.27154021,10.6,64.08,8450,525.5421348
10,40,1300,10,100,70,100,13.27154021,16.6,64.08,8450,1051.08427
20,10,1300,10,100,70,100,13.27154021,28.6,64.08,8450,262.7710674
20,20,1300,10,100,70,100,13.27154021,15.2,64.08,8450,525.5421348
20,40,1300,10,100,70,100,13.27154021,21.2,64.08,8450,1051.08427
40,10,1300,10,100,70,100,13.27154021,33.2,64.08,8450,262.7710674
40,20,1300,10,100,70,100,13.27154021,24.4,64.08,8450,525.5421348
40,40,1300,10,100,70,100,13.27154021,30.4,64.08,8450,1051.08427
10,10,400,70,10,70,100,11.90078569,5.9,64.08,800,172.3515985
10,20,400,70,10,70,100,11.90078569,8.6,64.08,800,344.7031969
10,40,400,70,10,70,100,11.90078569,14,64.08,800,689.4063938
20,10,400,70,10,70,100,11.90078569,9.1,64.08,800,172.3515985
20,20,400,70,10,70,100,11.90078569,11.8,64.08,800,344.7031969
20,40,400,70,10,70,100,11.90078569,17.2,64.08,800,689.4063938
40,10,400,70,10,70,100,11.90078569,4.3,64.08,800,172.3515985
40,20,400,70,10,70,100,11.90078569,7,64.08,800,344.7031969
40,40,400,70,10,70,100,11.90078569,12.4,64.08,800,689.4063938
10,10,700,70,10,70,100,14.01402241,13.2,64.08,2450,239.5835434
10,20,700,70,10,70,100,14.01402241,19.6,64.08,2450,479.1670868
10,40,700,70,10,70,100,14.01402241,4.9,64.08,2450,958.3341736
20,10,700,70,10,70,100,14.01402241,8.1,64.08,2450,239.5835434
20,20,700,70,10,70,100,14.01402241,14.5,64.08,2450,479.1670868
20,40,700,70,10,70,100,14.01402241,6.6,64.08,2450,958.3341736
40,10,700,70,10,70,100,14.01402241,9.8,64.08,2450,239.5835434
40,20,700,70,10,70,100,14.01402241,16.2,64.08,2450,479.1670868
40,40,700,70,10,70,100,14.01402241,10,64.08,2450,958.3341736
10,10,1000,70,10,70,100,13.15272666,16.9,64.08,5000,257.7606984
10,20,1000,70,10,70,100,13.15272666,7.9,64.08,5000,515.5213968
10,40,1000,70,10,70,100,13.15272666,11.6,64.08,5000,1031.042794
20,10,1000,70,10,70,100,13.15272666,19,64.08,5000,257.7606984
20,20,1000,70,10,70,100,13.15272666,12.1,64.08,5000,515.5213968
20,40,1000,70,10,70,100,13.15272666,15.8,64.08,5000,1031.042794
40,10,1000,70,10,70,100,13.15272666,23.2,64.08,5000,257.7606984
40,20,1000,70,10,70,100,13.15272666,5.8,64.08,5000,515.5213968
40,40,1000,70,10,70,100,13.15272666,9.5,64.08,5000,1031.042794
10,10,1300,70,10,70,100,12.9702486,23.7,64.08,8450,262.065381
10,20,1300,70,10,70,100,12.9702486,30.6,64.08,8450,524.130762
10,40,1300,70,10,70,100,12.9702486,44.4,64.08,8450,1048.261524
20,10,1300,70,10,70,100,12.9702486,11.1,64.08,8450,262.065381
20,20,1300,70,10,70,100,12.9702486,18,64.08,8450,524.130762
20,40,1300,70,10,70,100,12.9702486,31.8,64.08,8450,1048.261524
40,10,1300,70,10,70,100,12.9702486,15.3,64.08,8450,262.065381
40,20,1300,70,10,70,100,12.9702486,22.2,64.08,8450,524.130762
40,40,1300,70,10,70,100,12.9702486,36,64.08,8450,1048.261524
10,10,400,70,40,40,100,11.37527892,6.8,61.92,800,161.4388566
10,20,400,70,40,40,100,11.37527892,12.2,61.92,800,322.8777132
10,40,400,70,40,40,100,11.37527892,5.5,61.92,800,645.7554263
20,10,400,70,40,40,100,11.37527892,8.2,61.92,800,161.4388566
20,20,400,70,40,40,100,11.37527892,13.6,61.92,800,322.8777132
20,40,400,70,40,40,100,11.37527892,8.3,61.92,800,645.7554263
40,10,400,70,40,40,100,11.37527892,11,61.92,800,161.4388566
40,20,400,70,40,40,100,11.37527892,16.4,61.92,800,322.8777132
40,40,400,70,40,40,100,11.37527892,4.1,61.92,800,645.7554263
10,10,700,70,40,40,100,13.72582346,16.4,61.92,2450,223.6948623
10,20,700,70,40,40,100,13.72582346,9.7,61.92,2450,447.3897246
10,40,700,70,40,40,100,13.72582346,13,61.92,2450,894.7794493
20,10,700,70,40,40,100,13.72582346,19.6,61.92,2450,223.6948623
20,20,700,70,40,40,100,13.72582346,4.9,61.92,2450,447.3897246
20,40,700,70,40,40,100,13.72582346,8.2,61.92,2450,894.7794493
40,10,700,70,40,40,100,13.72582346,14.8,61.92,2450,223.6948623
40,20,700,70,40,40,100,13.72582346,6.5,61.92,2450,447.3897246
40,40,700,70,40,40,100,13.72582346,9.8,61.92,2450,894.7794493
10,10,1000,70,40,40,100,12.7932757,5.6,61.92,5000,240.0066029
10,20,1000,70,40,40,100,12.7932757,9.3,61.92,5000,480.0132057
10,40,1000,70,40,40,100,12.7932757,16.7,61.92,5000,960.0264115
20,10,1000,70,40,40,100,12.7932757,7.5,61.92,5000,240.0066029
20,20,1000,70,40,40,100,12.7932757,11.2,61.92,5000,480.0132057
20,40,1000,70,40,40,100,12.7932757,18.6,61.92,5000,960.0264115
40,10,1000,70,40,40,100,12.7932757,11.3,61.92,5000,240.0066029
40,20,1000,70,40,40,100,12.7932757,15,61.92,5000,480.0132057
40,40,1000,70,40,40,100,12.7932757,22.4,61.92,5000,960.0264115
10,10,1300,70,40,40,100,12.6063307,21.2,61.92,8450,244.4161822
10,20,1300,70,40,40,100,12.6063307,33.8,61.92,8450,488.8323644
10,40,1300,70,40,40,100,12.6063307,23.5,61.92,8450,977.6647287
20,10,1300,70,40,40,100,12.6063307,29.8,61.92,8450,244.4161822
20,20,1300,70,40,40,100,12.6063307,42.4,61.92,8450,488.8323644
20,40,1300,70,40,40,100,12.6063307,10.6,61.92,8450,977.6647287
40,10,1300,70,40,40,100,12.6063307,16.9,61.92,8450,244.4161822
40,20,1300,70,40,40,100,12.6063307,29.5,61.92,8450,488.8323644
40,40,1300,70,40,40,100,12.6063307,14.9,61.92,8450,977.6647287
10,10,400,70,70,10,100,10.77235008,15.6,59.76,800,149.8620722
10,20,400,70,70,10,100,10.77235008,3.9,59.76,800,299.7241443
10,40,400,70,70,10,100,10.77235008,6.5,59.76,800,599.4482886
20,10,400,70,70,10,100,10.77235008,11.7,59.76,800,149.8620722
20,20,400,70,70,10,100,10.77235008,5.2,59.76,800,299.7241443
20,40,400,70,70,10,100,10.77235008,7.8,59.76,800,599.4482886
40,10,400,70,70,10,100,10.77235008,13,59.76,800,149.8620722
40,20,400,70,70,10,100,10.77235008,7.8,59.76,800,299.7241443
40,40,400,70,70,10,100,10.77235008,10.4,59.76,800,599.4482886
10,10,700,70,70,10,100,13.21791258,6.1,59.76,2450,208.4351334
10,20,700,70,70,10,100,13.21791258,9.2,59.76,2450,416.8702669
10,40,700,70,70,10,100,13.21791258,15.4,59.76,2450,833.7405338
20,10,700,70,70,10,100,13.21791258,9.1,59.76,2450,208.4351334
20,20,700,70,70,10,100,13.21791258,12.2,59.76,2450,416.8702669
20,40,700,70,70,10,100,13.21791258,18.4,59.76,2450,833.7405338
40,10,700,70,70,10,100,13.21791258,4.6,59.76,2450,208.4351334
40,20,700,70,70,10,100,13.21791258,7.7,59.76,2450,416.8702669
40,40,700,70,70,10,100,13.21791258,13.9,59.76,2450,833.7405338
10,10,1000,70,70,10,100,12.40875491,14.6,59.76,5000,224.3364206
10,20,1000,70,70,10,100,12.40875491,22,59.76,5000,448.6728412
10,40,1000,70,70,10,100,12.40875491,5.5,59.76,5000,897.3456823
20,10,1000,70,70,10,100,12.40875491,9.2,59.76,5000,224.3364206
20,20,1000,70,70,10,100,12.40875491,16.6,59.76,5000,448.6728412
20,40,1000,70,70,10,100,12.40875491,7.3,59.76,5000,897.3456823
40,10,1000,70,70,10,100,12.40875491,11,59.76,5000,224.3364206
40,20,1000,70,70,10,100,12.40875491,18.4,59.76,5000,448.6728412
40,40,1000,70,70,10,100,12.40875491,10.9,59.76,5000,897.3456823
10,10,1300,70,70,10,100,12.1998164,29.3,59.76,8450,227.7718803
10,20,1300,70,70,10,100,12.1998164,13.8,59.76,8450,455.5437606
10,40,1300,70,70,10,100,12.1998164,20.2,59.76,8450,911.0875213
20,10,1300,70,70,10,100,12.1998164,33,59.76,8450,227.7718803
20,20,1300,70,70,10,100,12.1998164,21.2,59.76,8450,455.5437606
20,40,1300,70,70,10,100,12.1998164,27.6,59.76,8450,911.0875213
40,10,1300,70,70,10,100,12.1998164,40.4,59.76,8450,227.7718803
40,20,1300,70,70,10,100,12.1998164,10.1,59.76,8450,455.5437606
40,40,1300,70,70,10,100,12.1998164,16.5,59.76,8450,911.0875213
10,10,400,40,40,100,100,12.33747107,10.2,68.4,800,175.5143244
10,20,400,40,40,100,100,12.33747107,12.8,68.4,800,351.0286487
10,40,400,40,40,100,100,12.33747107,18,68.4,800,702.0572974
20,10,400,40,40,100,100,12.33747107,4.5,68.4,800,175.5143244
20,20,400,40,40,100,100,12.33747107,7.1,68.4,800,351.0286487
20,40,400,40,40,100,100,12.33747107,12.3,68.4,800,702.0572974
40,10,400,40,40,100,100,12.33747107,6.4,68.4,800,175.5143244
40,20,400,40,40,100,100,12.33747107,9,68.4,800,351.0286487
40,40,400,40,40,100,100,12.33747107,14.2,68.4,800,702.0572974
10,10,700,40,40,100,100,14.43383051,8.6,68.4,2450,267.6507002
10,20,700,40,40,100,100,14.43383051,15,68.4,2450,535.3014004
10,40,700,40,40,100,100,14.43383051,7.6,68.4,2450,1070.602801
20,10,700,40,40,100,100,14.43383051,10.8,68.4,2450,267.6507002
20,20,700,40,40,100,100,14.43383051,17.2,68.4,2450,535.3014004
20,40,700,40,40,100,100,14.43383051,12,68.4,2450,1070.602801
40,10,700,40,40,100,100,14.43383051,15.2,68.4,2450,267.6507002
40,20,700,40,40,100,100,14.43383051,21.6,68.4,2450,535.3014004
40,40,700,40,40,100,100,14.43383051,5.4,68.4,2450,1070.602801
10,10,1000,40,40,100,100,13.66693763,20.2,68.4,5000,289.811332
10,20,1000,40,40,100,100,13.66693763,14.5,68.4,5000,579.6226641
10,40,1000,40,40,100,100,13.66693763,18.2,68.4,5000,1159.245328
20,10,1000,40,40,100,100,13.66693763,25.6,68.4,5000,289.811332
20,20,1000,40,40,100,100,13.66693763,6.4,68.4,5000,579.6226641
20,40,1000,40,40,100,100,13.66693763,10.1,68.4,5000,1159.245328
40,10,1000,40,40,100,100,13.66693763,17.5,68.4,5000,289.811332
40,20,1000,40,40,100,100,13.66693763,9.1,68.4,5000,579.6226641
40,40,1000,40,40,100,100,13.66693763,12.8,68.4,5000,1159.245328
10,10,1300,40,40,100,100,13.41451389,11.4,68.4,8450,295.0891513
10,20,1300,40,40,100,100,13.41451389,17.7,68.4,8450,590.1783026
10,40,1300,40,40,100,100,13.41451389,30.3,68.4,8450,1180.356605
20,10,1300,40,40,100,100,13.41451389,16.5,68.4,8450,295.0891513
20,20,1300,40,40,100,100,13.41451389,22.8,68.4,8450,590.1783026
20,40,1300,40,40,100,100,13.41451389,35.4,68.4,8450,1180.356605
40,10,1300,40,40,100,100,13.41451389,26.7,68.4,8450,295.0891513
40,20,1300,40,40,100,100,13.41451389,33,68.4,8450,590.1783026
40,40,1300,40,40,100,100,13.41451389,45.6,68.4,8450,1180.356605
10,10,400,40,70,70,100,11.67294265,8.8,66.24,800,165.9454334
10,20,400,40,70,70,100,11.67294265,14,66.24,800,331.8908669
10,40,400,40,70,70,100,11.67294265,9.8,66.24,800,663.7817337
20,10,400,40,70,70,100,11.67294265,12.4,66.24,800,165.9454334
20,20,400,40,70,70,100,11.67294265,17.6,66.24,800,331.8908669
20,40,400,40,70,70,100,11.67294265,4.4,66.24,800,663.7817337
40,10,400,40,70,70,100,11.67294265,7,66.24,800,165.9454334
40,20,400,40,70,70,100,11.67294265,12.2,66.24,800,331.8908669
40,40,400,40,70,70,100,11.67294265,6.2,66.24,800,663.7817337
10,10,700,40,70,70,100,14.14802206,20.4,66.24,2450,250.6475239
10,20,700,40,70,70,100,14.14802206,5.1,66.24,2450,501.2950479
10,40,700,40,70,70,100,14.14802206,8.2,66.24,2450,1002.590096
20,10,700,40,70,70,100,14.14802206,14.4,66.24,2450,250.6475239
20,20,700,40,70,70,100,14.14802206,7.1,66.24,2450,501.2950479
20,40,700,40,70,70,100,14.14802206,10.2,66.24,2450,1002.590096
40,10,700,40,70,70,100,14.14802206,16.4,66.24,2450,250.6475239
40,20,700,40,70,70,100,14.14802206,11.1,66.24,2450,501.2950479
40,40,700,40,70,70,100,14.14802206,14.2,66.24,2450,1002.590096
10,10,1000,40,70,70,100,13.31155663,8.6,66.24,5000,272.0196098
10,20,1000,40,70,70,100,13.31155663,12.2,66.24,5000,544.0392197
10,40,1000,40,70,70,100,13.31155663,19.4,66.24,5000,1088.078439
20,10,1000,40,70,70,100,13.31155663,13.6,66.24,5000,272.0196098
20,20,1000,40,70,70,100,13.31155663,17.2,66.24,5000,544.0392197
20,40,1000,40,70,70,100,13.31155663,24.4,66.24,5000,1088.078439
40,10,1000,40,70,70,100,13.31155663,6.1,66.24,5000,272.0196098
40,20,1000,40,70,70,100,13.31155663,9.7,66.24,5000,544.0392197
40,40,1000,40,70,70,100,13.31155663,16.9,66.24,5000,1088.078439
10,10,1300,40,70,70,100,13.13232645,32.8,66.24,8450,276.8018237
10,20,1300,40,70,70,100,13.13232645,45.6,66.24,8450,553.6036475
10,40,1300,40,70,70,100,13.13232645,11.4,66.24,8450,1107.207295
20,10,1300,40,70,70,100,13.13232645,17.8,66.24,8450,276.8018237
20,20,1300,40,70,70,100,13.13232645,30.6,66.24,8450,553.6036475
20,40,1300,40,70,70,100,13.13232645,16.4,66.24,8450,1107.207295
40,10,1300,40,70,70,100,13.13232645,22.8,66.24,8450,276.8018237
40,20,1300,40,70,70,100,13.13232645,35.6,66.24,8450,553.6036475
40,40,1300,40,70,70,100,13.13232645,26.4,66.24,8450,1107.207295
10,10,400,40,100,40,100,10.21382918,12.1,64.08,800,155.4146916
10,20,400,40,100,40,100,10.21382918,6,64.08,800,310.8293833
10,40,400,40,100,40,100,10.21382918,8.6,64.08,800,621.6587666
20,10,400,40,100,40,100,10.21382918,13.8,64.08,800,155.4146916
20,20,400,40,100,40,100,10.21382918,9.4,64.08,800,310.8293833
20,40,400,40,100,40,100,10.21382918,12,64.08,800,621.6587666
40,10,400,40,100,40,100,10.21382918,17.2,64.08,800,155.4146916
40,20,400,40,100,40,100,10.21382918,4.3,64.08,800,310.8293833
40,40,400,40,100,40,100,10.21382918,6.9,64.08,800,621.6587666
10,10,700,40,100,40,100,13.76480891,10.8,64.08,2450,234.7995482
10,20,700,40,100,40,100,13.76480891,14,64.08,2450,469.5990964
10,40,700,40,100,40,100,13.76480891,20.4,64.08,2450,939.1981927
20,10,700,40,100,40,100,13.76480891,5.1,64.08,2450,234.7995482
20,20,700,40,100,40,100,13.76480891,8.3,64.08,2450,469.5990964
20,40,700,40,100,40,100,13.76480891,14.7,64.08,2450,939.1981927
40,10,700,40,100,40,100,13.76480891,7,64.08,2450,234.7995482
40,20,700,40,100,40,100,13.76480891,10.2,64.08,2450,469.5990964
40,40,700,40,100,40,100,13.76480891,16.6,64.08,2450,939.1981927
10,10,1000,40,100,40,100,12.85722998,9.4,64.08,5000,254.5205181
10,20,1000,40,100,40,100,12.85722998,16.4,64.08,5000,509.0410362
10,40,1000,40,100,40,100,12.85722998,8.3,64.08,5000,1018.082072
20,10,1000,40,100,40,100,12.85722998,11.8,64.08,5000,254.5205181
20,20,1000,40,100,40,100,12.85722998,18.8,64.08,5000,509.0410362
20,40,1000,40,100,40,100,12.85722998,13.1,64.08,5000,1018.082072
40,10,1000,40,100,40,100,12.85722998,16.6,64.08,5000,254.5205181
40,20,1000,40,100,40,100,12.85722998,23.6,64.08,5000,509.0410362
40,40,1000,40,100,40,100,12.85722998,5.9,64.08,5000,1018.082072
10,10,1300,40,100,40,100,12.49959219,33,64.08,8450,259.5954049
10,20,1300,40,100,40,100,12.49959219,24,64.08,8450,519.1908097
10,40,1300,40,100,40,100,12.49959219,30,64.08,8450,1038.381619
20,10,1300,40,100,40,100,12.49959219,42,64.08,8450,259.5954049
20,20,1300,40,100,40,100,12.49959219,10.5,64.08,8450,519.1908097
20,40,1300,40,100,40,100,12.49959219,16.5,64.08,8450,1038.381619
40,10,1300,40,100,40,100,12.49959219,28.5,64.08,8450,259.5954049
40,20,1300,40,100,40,100,12.49959219,15,64.08,8450,519.1908097
40,40,1300,40,100,40,100,12.49959219,21,64.08,8450,1038.381619
10,10,400,100,10,40,100,10.50635173,4.1,64.08,800,172.9215438
10,20,400,100,10,40,100,10.50635173,6.7,64.08,800,345.8430875
10,40,400,100,10,40,100,10.50635173,11.9,64.08,800,691.686175
20,10,400,100,10,40,100,10.50635173,5.6,64.08,800,172.9215438
20,20,400,100,10,40,100,10.50635173,8.2,64.08,800,345.8430875
20,40,400,100,10,40,100,10.50635173,13.4,64.08,800,691.686175
40,10,400,100,10,40,100,10.50635173,8.6,64.08,800,172.9215438
40,20,400,100,10,40,100,10.50635173,11.2,64.08,800,345.8430875
40,40,400,100,10,40,100,10.50635173,16.4,64.08,800,691.686175
10,10,700,100,10,40,100,12.82039175,10,64.08,2450,236.2683046
10,20,700,100,10,40,100,12.82039175,16.6,64.08,2450,472.5366092
10,40,700,100,10,40,100,12.82039175,10.1,64.08,2450,945.0732184
20,10,700,100,10,40,100,12.82039175,13.4,64.08,2450,236.2683046
20,20,700,100,10,40,100,12.82039175,20,64.08,2450,472.5366092
20,40,700,100,10,40,100,12.82039175,5,64.08,2450,945.0732184
40,10,700,100,10,40,100,12.82039175,8.3,64.08,2450,236.2683046
40,20,700,100,10,40,100,12.82039175,14.9,64.08,2450,472.5366092
40,40,700,100,10,40,100,12.82039175,6.7,64.08,2450,945.0732184
10,10,1000,100,10,40,100,12.04719253,23.6,64.08,5000,254.3669466
10,20,1000,100,10,40,100,12.04719253,5.9,64.08,5000,508.7338932
10,40,1000,100,10,40,100,12.04719253,9.6,64.08,5000,1017.467786
20,10,1000,100,10,40,100,12.04719253,17,64.08,5000,254.3669466
20,20,1000,100,10,40,100,12.04719253,8.1,64.08,5000,508.7338932
20,40,1000,100,10,40,100,12.04719253,11.8,64.08,5000,1017.467786
40,10,1000,100,10,40,100,12.04719253,19.2,64.08,5000,254.3669466
40,20,1000,100,10,40,100,12.04719253,12.5,64.08,5000,508.7338932
40,40,1000,100,10,40,100,12.04719253,16.2,64.08,5000,1017.467786
10,10,1300,100,10,40,100,11.86102512,15.1,64.08,8450,258.6229241
10,20,1300,100,10,40,100,11.86102512,22,64.08,8450,517.2458481
10,40,1300,100,10,40,100,11.86102512,35.8,64.08,8450,1034.491696
20,10,1300,100,10,40,100,11.86102512,23.3,64.08,8450,258.6229241
20,20,1300,100,10,40,100,11.86102512,30.2,64.08,8450,517.2458481
20,40,1300,100,10,40,100,11.86102512,44,64.08,8450,1034.491696
40,10,1300,100,10,40,100,11.86102512,11,64.08,8450,258.6229241
40,20,1300,100,10,40,100,11.86102512,17.9,64.08,8450,517.2458481
40,40,1300,100,10,40,100,11.86102512,31.7,64.08,8450,1034.491696
10,10,400,100,40,10,100,10.21952256,10.6,61.92,800,160.5671081
10,20,400,100,40,10,100,10.21952256,15.6,61.92,800,321.1342162
10,40,400,100,40,10,100,10.21952256,3.9,61.92,800,642.2684323
20,10,400,100,40,10,100,10.21952256,6.4,61.92,800,160.5671081
20,20,400,100,40,10,100,10.21952256,11.4,61.92,800,321.1342162
20,40,400,100,40,10,100,10.21952256,5.3,61.92,800,642.2684323
40,10,400,100,40,10,100,10.21952256,7.8,61.92,800,160.5671081
40,20,400,100,40,10,100,10.21952256,12.8,61.92,800,321.1342162
40,40,400,100,40,10,100,10.21952256,8.1,61.92,800,642.2684323
10,10,700,100,40,10,100,12.51861266,14.8,61.92,2450,220.3151371
10,20,700,100,40,10,100,12.51861266,6.5,61.92,2450,440.6302741
10,40,700,100,40,10,100,12.51861266,9.8,61.92,2450,881.2605482
20,10,700,100,40,10,100,12.51861266,16.4,61.92,2450,220.3151371
20,20,700,100,40,10,100,12.51861266,9.7,61.92,2450,440.6302741
20,40,700,100,40,10,100,12.51861266,13,61.92,2450,881.2605482
40,10,700,100,40,10,100,12.51861266,19.6,61.92,2450,220.3151371
40,20,700,100,40,10,100,12.51861266,4.9,61.92,2450,440.6302741
40,40,700,100,40,10,100,12.51861266,8.2,61.92,2450,881.2605482
10,10,1000,100,40,10,100,11.72565097,11.7,61.92,5000,237.4068592
10,20,1000,100,40,10,100,11.72565097,15.4,61.92,5000,474.8137184
10,40,1000,100,40,10,100,11.72565097,22.8,61.92,5000,949.6274367
20,10,1000,100,40,10,100,11.72565097,5.7,61.92,5000,237.4068592
20,20,1000,100,40,10,100,11.72565097,9.4,61.92,5000,474.8137184
20,40,1000,100,40,10,100,11.72565097,16.8,61.92,5000,949.6274367
40,10,1000,100,40,10,100,11.72565097,7.7,61.92,5000,237.4068592
40,20,1000,100,40,10,100,11.72565097,11.4,61.92,5000,474.8137184
40,40,1000,100,40,10,100,11.72565097,18.8,61.92,5000,949.6274367
10,10,1300,100,40,10,100,11.60144921,18,61.92,8450,241.3721525
10,20,1300,100,40,10,100,11.60144921,32,61.92,8450,482.7443049
10,40,1300,100,40,10,100,11.60144921,15,61.92,8450,965.4886098
20,10,1300,100,40,10,100,11.60144921,22,61.92,8450,241.3721525
20,20,1300,100,40,10,100,11.60144921,36,61.92,8450,482.7443049
20,40,1300,100,40,10,100,11.60144921,23,61.92,8450,965.4886098
40,10,1300,100,40,10,100,11.60144921,30,61.92,8450,241.3721525
40,20,1300,100,40,10,100,11.60144921,44,61.92,8450,482.7443049
40,40,1300,100,40,10,100,11.60144921,11,61.92,8450,965.4886098
10,10,400,10,10,40,400,14.01173158,17.2,87.84,800,242.1199101
10,20,400,10,10,40,400,14.01173158,16.2,87.84,800,484.2398201
10,40,400,10,10,40,400,14.01173158,18.8,87.84,800,968.4796402
20,10,400,10,10,40,400,14.01173158,24,87.84,800,242.1199101
20,20,400,10,10,40,400,14.01173158,6,87.84,800,484.2398201
20,40,400,10,10,40,400,14.01173158,8.6,87.84,800,968.4796402
40,10,400,10,10,40,400,14.01173158,13.8,87.84,800,242.1199101
40,20,400,10,10,40,400,14.01173158,9.4,87.84,800,484.2398201
40,40,400,10,10,40,400,14.01173158,12,87.84,800,968.4796402
10,10,700,10,10,40,400,15.62421487,7.1,87.84,2450,399.6657646
10,20,700,10,10,40,400,15.62421487,10.3,87.84,2450,799.3315292
10,40,700,10,10,40,400,15.62421487,16.7,87.84,2450,1598.663058
20,10,700,10,10,40,400,15.62421487,11,87.84,2450,399.6657646
20,20,700,10,10,40,400,15.62421487,14.2,87.84,2450,799.3315292
20,40,700,10,10,40,400,15.62421487,20.6,87.84,2450,1598.663058
40,10,700,10,10,40,400,15.62421487,18.8,87.84,2450,399.6657646
40,20,700,10,10,40,400,15.62421487,22,87.84,2450,799.3315292
40,40,700,10,10,40,400,15.62421487,28.4,87.84,2450,1598.663058
10,10,1000,10,10,40,400,14.54378123,16.6,87.84,5000,440.9506239
10,20,1000,10,10,40,400,14.54378123,23.8,87.84,5000,881.9012479
10,40,1000,10,10,40,400,14.54378123,22.4,87.84,5000,1763.802496
20,10,1000,10,10,40,400,14.54378123,26,87.84,5000,440.9506239
20,20,1000,10,10,40,400,14.54378123,33.2,87.84,5000,881.9012479
20,40,1000,10,10,40,400,14.54378123,8.3,87.84,5000,1763.802496
40,10,1000,10,10,40,400,14.54378123,11.9,87.84,5000,440.9506239
40,20,1000,10,10,40,400,14.54378123,19.1,87.84,5000,881.9012479
40,40,1000,10,10,40,400,14.54378123,13,87.84,5000,1763.802496
10,10,1300,10,10,40,400,14.21104213,67.6,87.84,8450,450.9644134
10,20,1300,10,10,40,400,14.21104213,16.9,87.84,8450,901.9288268
10,40,1300,10,10,40,400,14.21104213,23.3,87.84,8450,1803.857654
20,10,1300,10,10,40,400,14.21104213,36.1,87.84,8450,450.9644134
20,20,1300,10,10,40,400,14.21104213,27.4,87.84,8450,901.9288268
20,40,1300,10,10,40,400,14.21104213,33.8,87.84,8450,1803.857654
