is_training,mse_kdiff[%],mse_Bleak[uT],mse_V_PriWind[cm3],mse_V_PriCore[cm3],mse_Pout[W]
0,28.330486297607422,802.4642333984375,1266.1021728515625,12998728.0,339903.34375
0,28.43718910217285,802.4642333984375,1269.6485595703125,12986679.0,342217.375
0,28.440357208251953,802.4642333984375,1266.656005859375,12993260.0,342970.75
0,28.42550277709961,802.4642333984375,1262.6715087890625,13021637.0,341708.9375
0,45.61738586425781,802.4642333984375,1264.0023193359375,13004753.0,343476.625
0,45.659664154052734,802.4642333984375,1271.5916748046875,12990174.0,344105.9375
0,45.61397933959961,802.4642333984375,1271.89794921875,13026470.0,339914.1875
0,41.870460510253906,802.4642333984375,1268.465576171875,10756738.0,426320.78125
0,41.79082489013672,802.4642333984375,1268.5406494140625,11126181.0,427535.9375
0,41.79780960083008,735.2762451171875,1268.5406494140625,10968868.0,427441.40625
0,41.85772705078125,819.3724975585938,1268.5406494140625,11038038.0,429881.25
0,38.90571594238281,849.1783447265625,946.8939819335938,11329513.0,395602.96875
0,38.90571594238281,844.9454956054688,1192.40673828125,11357295.0,393697.96875
0,38.90571594238281,802.4642333984375,1268.5406494140625,13554898.0,383764.03125
0,38.90571594238281,802.4642333984375,1268.5406494140625,13554898.0,383764.03125
0,38.90571594238281,802.4642333984375,1268.5406494140625,13554898.0,383764.03125
0,38.90571594238281,802.4642333984375,1268.5406494140625,13554898.0,383764.03125
0,38.905696868896484,802.4642333984375,1268.5406494140625,13554898.0,383764.03125
0,41.551368713378906,802.4642333984375,1268.5406494140625,13554898.0,383764.03125
0,37.6057014465332,802.4642333984375,1357.4378662109375,13554898.0,383764.03125
0,37.6041145324707,802.4642333984375,1150.646484375,13554898.0,383764.03125
0,37.57472610473633,801.5797119140625,1150.646484375,13554898.0,551924.5625
0,34.91399002075195,801.5797119140625,1150.646484375,13554898.0,551924.5625
0,34.904117584228516,698.8406982421875,1150.6463623046875,13554898.0,551924.5625
0,41.819610595703125,817.4797973632812,1050.477294921875,13554898.0,327817.25
0,41.70171356201172,819.0805053710938,1041.16259765625,13554898.0,326355.90625
0,33.04667663574219,818.8247680664062,1049.5838623046875,13541258.0,324818.65625
0,33.10248947143555,804.3175048828125,1401.5333251953125,13554898.0,322963.84375
0,33.522560119628906,791.3054809570312,1269.5682373046875,13554898.0,387221.59375
0,38.12471008300781,791.8079833984375,1272.8721923828125,13554898.0,386818.21875
0,37.8928108215332,771.0499877929688,1270.9835205078125,13554894.0,387421.75
0,37.55270004272461,788.6506958007812,1222.84912109375,13554898.0,359785.46875
0,39.544490814208984,802.4642333984375,1235.264404296875,13554898.0,360173.15625
0,37.218955993652344,833.9216918945312,1244.8006591796875,13816081.0,463303.84375
0,41.14181137084961,833.9216918945312,1257.33544921875,13814763.0,463596.0
0,41.25853729248047,833.870361328125,1424.47900390625,13828233.0,467099.59375
0,41.20525360107422,832.6695556640625,1407.867919921875,13861452.0,450435.65625
0,32.66116714477539,494.52197265625,996.53173828125,11618656.0,429480.34375
0,32.61308670043945,528.3525390625,993.5906982421875,11613084.0,428139.90625
0,32.76713943481445,771.56494140625,1648.4569091796875,11568969.0,428106.96875
0,32.68105697631836,769.3665161132812,1648.6226806640625,11619109.0,428857.9375
0,36.9507942199707,796.4498901367188,1043.5220947265625,12296417.0,419751.6875
