training_mean_discriminator_real_bce_loss,training_mean_discriminator_generated_bce_loss,training_mean_generator_bce_loss,testing_mean_discriminator_bce_loss,testing_mean_generator_bce_loss,num_discriminator_training_samples,num_generator_training_samples,num_discriminator_training_paused,num_generator_training_paused
tensor(0.6097),tensor(1.2665),tensor(0.6147),tensor(0.9880),tensor(1.4448),4288,2953,4288,2953
tensor(0.8857),tensor(1.2680),tensor(0.8835),tensor(1.0701),tensor(1.7375),3392,3465,3392,3465
tensor(1.0390),tensor(1.6944),tensor(1.0444),tensor(1.7313),tensor(2.4370),3328,3401,3328,3401
tensor(2.3114),tensor(2.4934),tensor(2.2798),tensor(3.4382),tensor(4.7953),3200,3273,3200,3273
tensor(1.5420),tensor(2.5643),tensor(1.5380),tensor(1.1844),tensor(1.9974),2368,3849,2368,3849
tensor(1.1818),tensor(1.6017),tensor(1.1828),tensor(1.6547),tensor(2.6566),3392,3337,3392,3337
tensor(1.9854),tensor(0.7381),tensor(1.9771),tensor(1.2863),tensor(2.3083),1024,4745,1024,4745
tensor(1.2653),tensor(1.1033),tensor(1.2680),tensor(0.9970),tensor(1.5520),1408,4489,1408,4489
tensor(1.0996),tensor(0.8032),tensor(1.1064),tensor(0.8769),tensor(1.3352),1536,4489,1536,4489
tensor(1.0422),tensor(0.8403),tensor(1.0443),tensor(0.8712),tensor(1.3016),1536,4425,1536,4425
tensor(0.7420),tensor(1.2807),tensor(0.7393),tensor(1.1522),tensor(1.9228),3456,3145,3456,3145
tensor(1.1421),tensor(0.9000),tensor(1.1402),tensor(0.8655),tensor(1.4020),1344,4553,1344,4553
tensor(0.9309),tensor(0.8855),tensor(0.9292),tensor(0.7869),tensor(1.1838),1728,4361,1728,4361
tensor(0.7489),tensor(1.5085),tensor(0.7494),tensor(2.1770),tensor(3.8544),4032,2953,4032,2953
