Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm]
3.3681159019470215,151.4938507080078,113.94353485107422,108.94452667236328,22.772197723388672,872.0848999023438,428.362548828125
-1.392728567123413,139.80331420898438,169.87796020507812,277.5099182128906,-0.8330987095832825,-0.7915072441101074,435.37548828125
21.672374725341797,115.56232452392578,-0.03196283429861069,89.87049865722656,18.849384307861328,758.65771484375,226.83453369140625
-2.6741409301757812,-1.6805163621902466,225.67462158203125,653.4899291992188,-3.0607528686523438,-11.710755348205566,455.5773010253906
19.481664657592773,59.043907165527344,141.57814025878906,151.2430877685547,-1.6464632749557495,338.58074951171875,539.2366333007812
-0.35918712615966797,209.1202392578125,116.26158905029297,113.17764282226562,24.792552947998047,979.5531616210938,394.8697204589844
-1.502366304397583,87.19086456298828,71.93614959716797,246.1110076904297,-0.8947599530220032,-2.6364433765411377,330.9884033203125
-0.05098109692335129,79.61894226074219,40.755889892578125,29.99138832092285,16.181926727294922,420.0322570800781,153.11459350585938
-1.5822546482086182,112.9636001586914,252.26385498046875,302.9752502441406,-0.6547470092773438,484.9136047363281,468.8457336425781
-0.4292392134666443,-2.3229007720947266,-0.15349285304546356,300.6260681152344,-1.9003312587738037,-7.392809867858887,74.42382049560547
-0.5143764615058899,16.856050491333008,219.78041076660156,262.5643615722656,-1.094515085220337,51.962345123291016,254.30760192871094
3.1762442588806152,186.57093811035156,59.582881927490234,205.3543243408203,0.9600114226341248,909.2265625,381.44140625
-2.2046639919281006,-0.22861994802951813,191.2703857421875,437.6272277832031,-3.2885591983795166,-3.983793020248413,723.4325561523438
-0.5487188100814819,177.6874237060547,148.52027893066406,215.23585510253906,20.094532012939453,659.203369140625,375.2315368652344
-3.2672646045684814,-4.820018768310547,96.42263793945312,833.8224487304688,-4.6774187088012695,-24.212753295898438,124.78974914550781
-6.108730792999268,-1.8610795736312866,-0.4488106966018677,770.9486694335938,-5.548401832580566,-19.3151912689209,362.9638366699219
-0.0803748294711113,159.80409240722656,31.468889236450195,67.16722869873047,84.62174224853516,964.051513671875,314.29351806640625
-1.2247884273529053,309.13873291015625,159.99720764160156,312.76458740234375,-1.09145987033844,623.8566284179688,597.296875
-2.414513111114502,-2.0799875259399414,168.61024475097656,589.04345703125,-2.5379185676574707,-11.29272174835205,214.05380249023438
-3.34244704246521,-2.495053768157959,121.09132385253906,625.4573364257812,-2.4743173122406006,-13.744083404541016,369.8365173339844
0.4704756736755371,269.69940185546875,122.64865112304688,69.10879516601562,76.99234771728516,1805.0025634765625,601.521240234375
49.98460388183594,292.174560546875,206.6431121826172,163.64019775390625,248.40455627441406,2025.0933837890625,614.1181640625
-2.5743651390075684,-3.3262994289398193,166.53570556640625,673.5410766601562,-3.256685733795166,-17.623470306396484,292.92242431640625
-1.0288676023483276,-3.094681739807129,52.52723693847656,478.0119323730469,-2.3408970832824707,-14.644210815429688,175.4755859375
-2.707674503326416,-0.32907307147979736,266.7655944824219,519.1998901367188,-1.6024210453033447,-2.6675174236297607,576.8836669921875
-0.9217838048934937,-0.737614095211029,55.10475540161133,142.38719177246094,-0.9739968180656433,-4.64757776260376,130.13050842285156
-1.2411924600601196,-1.2565432786941528,106.82575988769531,444.6429138183594,-2.053555965423584,-6.991165637969971,232.62893676757812
-2.3255484104156494,-0.1875419169664383,237.64759826660156,564.91162109375,-2.28731369972229,-4.766549587249756,518.9119262695312
-1.4175171852111816,234.8612518310547,104.99466705322266,245.1481475830078,-1.607533574104309,333.6094970703125,461.4286193847656
-0.5303646922111511,-0.7577755451202393,22.64885139465332,156.13070678710938,-0.7996644973754883,-3.6021547317504883,89.02823638916016
-0.5435253977775574,8.391551971435547,19.886560440063477,105.58824157714844,-0.5516881346702576,-1.5145227909088135,74.88976287841797
-2.7515928745269775,167.11387634277344,34.04209518432617,459.3501281738281,-2.5742080211639404,123.16073608398438,549.5731811523438
-0.11070474237203598,-1.1869174242019653,240.2761688232422,382.5605163574219,-1.872815489768982,-4.356311321258545,250.0086212158203
-1.6951061487197876,173.04052734375,251.9969940185547,464.8091735839844,-0.721532940864563,642.0654907226562,623.4401245117188
-0.24723100662231445,-4.682370662689209,209.45143127441406,604.9526977539062,-4.602992057800293,-19.854761123657227,353.0434875488281
